# FILE DATA
ID : MDRW2100021128
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210828
topic : 식음료

# SPEAKER_INFO
id : 1
age : 20대
occupation : 학생
sex : 여성
birthplace : 경남
principal_residence : 부산
current_residence : 부산
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 학생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 저는 공차가 먹고싶어요....
P1 	: 제 소울푸드예요...
P0 	: 넹 ㅋㅋㅋ
P0 	: 아하 오 버블티좋아하시나봐여??
P1 	: 네 맞아요!!!
P1 	: 씹히는거를 좋아해요 ㅎㅎ
P1 	: 그냥 각얼음만 들어있는 음료는 점점 싱거워지더라구요
P1 	: &name1&님은 버블티 좋아하시나요?
P0 	: 맞죠맞죠,, 전 안타깝게도 버블티 안좋아해요,, 타피오카펄먹으면 속이 울렁거려서 ㅠ
P1 	: 헉 그렇군요
P1 	: 근데 일리 있는 현상이에요,,
P1 	: 이게 괴담인지는 모르겠는데
P1 	: 타피오카펄 많이 먹으면 위암 걸릴 수 있다고 하더라구요ㅠ
P0 	: 허걱 위암이라니..ㄷㄷ
P0 	: 근데 알로에펄은 또 괜찮더라구요
P1 	: 오오 알로에펄도 맛있죠
P1 	: 저는 공차 화이트펄도 좋아해요!!!
P1 	: 가끔 타피오카 먹기 찝찝할 땐 화이트펄을 먹는답니다 ㅎㅎ
P0 	: 아하~ 입맛에맞기만하면 번갈아드시면 좋죠
P0 	: 보통 어떤메뉴시키시나요?
P1 	: 저는 공차 제주그린티 스무디가 제 소울푸드예요!!!
P1 	: 여기에 밀크폼이 얹어져 나오는데
P1 	: 짭조름하면서... 정말 맛이 좋아요...!!!
P0 	: 오 녹차좋아하시는군요!!! 전 안타깝게도 녹차를 싫어해서 ㅠㅠ 아 저 치즈폼좋아해여~ㅋㅋㅋㅋ
P1 	: 아아 녹차를 싫어하시는구나 8ㅅ8
P1 	: 치즈폼!!!!
P1 	: 공차에 치즈폼도 있었군요
P1 	: 저 왜 몰랐지,,, 분명히 제가 좋아할 맛일거예요
P1 	: 그럼 혹시 민초는 좋아하시나요???
P0 	: 앜ㅋㅋㅋㅋㅋㅋㅋ넹ㅋㅋ 근데정식명칭이 저게맞나몰라요..
P0 	: 저 민초단이에요~~~헤헤
P1 	: 우와 저도 민초단이에요!!!!!
