# FILE DATA
ID : MDRW2100029182
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210903
topic : 기타 사회 생활 및 활동>군대

# SPEAKER_INFO
id : 1
age : 30대
occupation : 판매/영업 종사자
sex : 여성
birthplace : 부산
principal_residence : 부산
current_residence : 부산
device : 스마트폰
keyboard : 천지인

id : 2
age : 30대
occupation : 기타
sex : 여성
birthplace : 부산
principal_residence : 부산
current_residence : 부산
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 군대 한때는
P1 	: 2년2개월이었는데
P0 	: 1년이  적당한거 같아요
P1 	: 지금너무짧음
P0 	: 헉
P1 	: 심지어
P0 	: 몇년가야 만족?
P1 	: 휴대폰도 사용함
P0 	: 그건 별로'..
P1 	: 내 사촌동생
P1 	: 첫째는
P1 	: 군대가서 전화로 통화했고
P1 	: 둘째는 처음에 군대에서 제공하는
P0 	: 근데 그래야 군에서 폭력이나
P1 	: 어플로 사용하다가
P1 	: 걍화상통화 자유롭게함
P0 	: 사망사건이 줄어들것 같아요
P1 	: 자기폰한다고
P1 	: 후임들 괴롭히는거
P0 	: 오오 좋아졌네요
P1 	: 많이 줄었다고 함
P1 	: 왕따가 어디든 문제
P0 	: 금정적 영향이네요
P1 	: 요즘믄 들어가면
P1 	: 운동 무조건시키고 그런거 아니고
P0 	: 그럼 뭐 시켜요
P1 	: 하고싶은사람만하는데
P1 	: 폰한다고
P1 	: 다들 안해서
P0 	: 어 그건 좀 그런데요
P1 	: 살쪄서나온다고 함
P0 	: 어쨌든 훈련을 하고 나와야 되는데
P1 	: 라떼는 동기들 군대가면
P1 	: 칼각잡고 나오고
P0 	: 그리고 오늘 제대 그런 얘기 엄청 하겠네
P1 	: 걸을때 팔올라가고
P0 	: 엄청 그런 라떼는 이런 얘기 많이 하겠네요
P1 	: 뒷짐지고 있고
P0 	: 개편이겠네요
P1 	: 통화하고싶어서
P1 	: 수신자부담전화하고
