# FILE DATA
ID : MDRW2100012364
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210824
topic : 연애와 결혼

# SPEAKER_INFO
id : 1
age : 20대
occupation : 학생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 학생
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 뭣 모르고 접하다가
P1 	: 애 낳고
P1 	: 성 ㅂㅕㅇ 걸리고
P0 	: 21세기에 아직도 이렇게 정보를 숨겨서
P1 	: 그 위험성 알려줬으면
P0 	: 거의 사기결혼 사기임신 아닌가욬ㅋㅋㅋ
P1 	: 최소한 몇명은 안걸릴 수도 있었을텐데
P1 	: 진짜 맞아요
P1 	: 겉으로는 자유로운 척 하면서
P0 	: 국가가 방조한..
P1 	: 계속 압박하고
P0 	: 선택의 자유를 빼앗은 느낌이네요
P0 	: 정보를 불균등하게 공ㅇ유해서..
P0 	: 그 시험관아기도 여자만 엄청 고생한다면서요
P1 	: 맞아요
P1 	: 정자는 그냥
P1 	: 배출하기만 하면 되는데
P1 	: 어이없어요
P0 	: 3초찍..
P1 	: ㅋㅋㅋㅋㅋㅋㅋ
P1 	: 전 정혈통 같은거
P1 	: 왜 연구가 더딘지
P1 	: 화나요
P1 	: 이것때문에 고통받는 사람들도 많은데
P0 	: 아 진짜 ㄹㅇ
P1 	: 교육도 잘 안되어있고
P0 	: 저는 정혈 하기 전에 정혈이 있는줄도 몰랐어요
P0 	: 처음 정혈할때 저 병난줄 ㅋㅋㅋㅋ
P1 	: 와 맞아요
P1 	: 전 처음에 너무 아파서
P1 	: 잠도 잘 못잤는데
