# FILE DATA
ID : MDRW2100026894
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210902
topic : 가사 및 가족

# SPEAKER_INFO
id : 1
age : 30대
occupation : 가정 주부
sex : 여성
birthplace : 전남
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 30대
occupation : 사무 종사자
sex : 남성
birthplace : 전남
principal_residence : 전남
current_residence : 전남
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 네네ㅎㅎ
P1 	: 암튼 쓰레기가 문제긴해요
P1 	: 버릴때마다... ㅠ
P0 	: 택배가 오바기도 하구요
P0 	: 과대포장
P1 	: 분리수거야 뭐 아무것도 아니지만
P1 	: 아ㅎㅎㅎㅎ
P1 	: 저 과대포장하니생각났어요ㅎ
P0 	: 어떤거요
P1 	: 어제 택배가 왔는데 카팅온이라고 전에 스벅받았던거 기억나세요?
P1 	: 바로 왔어서 이벤트했었어요ㅎㅎ
P0 	: 이름 기억나요 ㅎㅎ
P1 	: 어제왔는데 정말 과대포장 ㅎㅎㅎㅎㅎㅎㅎ
P0 	: 제가 뭐 파는곳이냐고  물엇엇죠
P1 	: 박스엄청 큰데 조그만한 알약같이 생긴 비타민 1개
P0 	: ㅎㅎㅎ
P1 	: 맞아요ㅎㅎㅎㅎ
P0 	: ㅡㅁ ㅡ
P1 	: 2600원 구매하고
P0 	: 1개라니
P1 	: 스벅받은거ㅎㅎ
P0 	: ㅋㅋ 그런거로 치면 맘큐도 ㅋㅋ
P1 	: 카팅온 사람들도 저 않좋게봤을꺼에요
P0 	: 마스크 3장! 시키는데 택배박스 ㅡㅁ ㅜ
P1 	: ㅎㅎㅎㅎ 세상에 6백원짜리를 시키냐고
P0 	: 헐 왜요
P1 	: 아아아ㅎ
P0 	: 아 ㅋㅋㅋ
P0 	: ㅋㅋㅋ 다 그랫을걸여
P1 	: 이벤트때문에 6백원 젤싼걸로 시켰죠ㅎ
P0 	: 이벤트 하신분음
P1 	: 맞아요ㅎ 저만 그러진 않았을꺼에요ㅎㅎ
P0 	: 그럼여 ㅋㅋ
P1 	: 이벤트는 항상 다들 머리싸매고 공짜로 하려고하니
