# FILE DATA
ID : MDRW2100009113
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210822
topic : 연애와 결혼

# SPEAKER_INFO
id : 1
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 학생
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 나랏글

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 저는 솔로에요ㅋㅋㅋㅋㅋ
P0 	: 앗
P0 	: 저도욬ㅋㅋㅋㅋㅋㅋ
P0 	: 어디 과거 함 털어볼까요
P1 	: 앜ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 함 끌어내서 썰 털어보겠습니다
P0 	: 롱타임 어고..
P1 	: 아 구남친 얘기할때 욕이 섞이는데 이게 안보내지네요
P0 	: 쓰읍..
P0 	: 좋았던 추억만 떠올려보자구요
P0 	: 이렇게 대화는 멈추었습니다.
P0 	: 그 뭐랄까
P0 	: 이상형이 어케되세요? ㅋㄹㅋㅋㅋㅋㅋㅎㅋㅋㅋㅋ
P1 	: 좋았던 추억...
P1 	: 저는 다정한 남자요
P1 	: 원래 막 연예인을 이상형으로 말했는데 현실에는 없어요
P1 	: ㅋㅋㅋㅋㄱㅋㅋ
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 아 그래도 함 말해죠요~!~!
P0 	: 다정한 남자라
P0 	: 김치 찢어주는 남자 vs 전화해서 뭐 먹냐고 물어보는 남자
P1 	: 앜ㅋㅋㅋㅋㅋㅋㄱㅋㅋㅋㄱㅋㅋㅋㄱㄱ
P1 	: 김치찢어주는거 넘 다정인데 손닦았는지 확실하지 않으니까 전화로 갈게요
P1 	: 이상형이 어떻게되세요??
P0 	: 저는 저는...북부대공이요
P0 	: 돈많고 잘생겼는데 주변에 여자없고 나만 아는
P0 	: 이게 투디 이상형이고요(?)
P0 	: 실제 사람은 우선 귀여운 남자 좋아합니다.
P0 	: 쓰읍 . 벌써 설레네요
P1 	: 약간 잘생겼는데 잘생긴거 모르는 남자 스타일인가요?ㅋㅋㅋ
P1 	: 귀여운 남자 오오오
P0 	: 하하버스. 예아.
P1 	: 연상vs연상
P1 	: 아니아니
P0 	: 연상.
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 예스 오어 예스..?
P1 	: 연상vs연하
P1 	: 아니 오타에요...ㅋㅋㅋㅋㅋ
P0 	: 쓰읍..
P0 	: 연상
P0 	: &name2& 씨
P0 	: 연상 vs 연하
P1 	: 저 당연히 연상
P1 	: 연하는 키우는 기분일거 같아요
P0 	: 어 통했군요
P0 	: 다정한 연상과 귀여운 연상 발견하면
P0 	: 삐삐 쳐줘요
P1 	: 아 당연하죠
P1 	: 텔레파시 보낼게요
