# FILE DATA
ID : MDRW2100007832
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210822
topic : 공연 및 관람>공연/전시회 및 관람

# SPEAKER_INFO
id : 1
age : 10대
occupation : 학생
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 천지인

id : 2
age : 10대
occupation : 학생
sex : 남성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  기타>동호회/스터디
intimacy  :  4
contact_frequency  :  (거의) 매일 연락한다.

P0 	: 요즘 콘서트 인원제한이
P0 	: 2천명이었던가요
P1 	: 50명이...아니었어요???
P1 	: 하 저 잠깐 이마트택배온거들여놓느라그만,,,ㅠㅠ!!!
P0 	: 괜찮아요ㅎㅎ
P0 	: 2천명까지 가능은 할거예요
P0 	: 다만 확진자가 나오면
P0 	: 콘서트 주체가 욕을 먹어서ㅠ
P1 	: 그렇죠....... 2천명이 가능했다니 그렇게 큰 곳도 있을까요?
P1 	: 와중에 저 안 가본 티가 나는 게 쬐금 웃기고(..
P0 	: 저도 콘서트는 못가봤어요ㅠ
P0 	: 티켓팅에 맨날 실패하기도 했고...
P0 	: 그나마 온콘이어서 다행이에요(?)
P1 	: 엣~~~~~~ 오래 파셧으니 가보셨을 거라 생각해버렷어요
P1 	: 온콘 티켓팅은 몇 번 했었는데!!
P1 	: 근데 또 은근 VOD를 믿으니 보기가 귀찮더라고요(...
P0 	: 온콘은 무한 포도알이라
P0 	: 티켓팅은 백퍼이지만
P0 	: 다른 컨텐츠랑 다를게 없어보여서
P0 	: ㅠ
P1 	: 하... 암튼 언젠가 음방 공방이라도 가보고싶어용 의지부족이지만...
P0 	: 공방ㅠㅠ 저도 뛰고 싶습니다
P0 	: 근데 공방은 시간이 천차만별인가요
P0 	: 정해진 시간이 없어보이던데
P1 	: 아마 음방에 따라 시간이 달라서...? 그럴 거예요 흠티콘 솔직히는 거의 팬카페에 접수?하는 걸텐데 아는사람이 없으니ㅠ  무섭기두
P0 	: 팬카페가 뭐죠...
P0 	: 이상 위버스에 찌든 인간이었습니다
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ맙소사ㅠㅠㅠㅜㅠ
P1 	: 솔직히 요즘 위버스는 뭐랄까.., 원래 빅히트만 들어있다가 이제는... 이게 뭔지...
P0 	: 약간 하이브가 만들어낸
P0 	: 새로운 세상? 이런 느낌이라
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ진짜 웃기다...아 저 생각난게
P1 	: 어떤 돌들은 아예 브이앱을 공카로 쓰기도 해요(...) 내얘기라서못웃겠지만,
	  ...
P0 	: 브이앱을 공카로요? 세상에
P1 	: ㅋㅋㅋㅋㅋㅋ... 아니 울림... 골든차일드까지는 공카 있었는데ㅠ 그 후로는 그냥 브이앱으로 공지 올리고... 스밍류 이벤트는 트위터에 올리라구 하더라구요
P1 	: ^-^...
