# FILE DATA
ID : MDRW2100039423
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210903
topic : 학교 생활

# SPEAKER_INFO
id : 1
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 제주
principal_residence : 충북
current_residence : 충북
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 기술직 종사자
sex : 여성
birthplace : 충북
principal_residence : 충북
current_residence : 충북
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  지역>현 거주지 지인
intimacy  :  5
contact_frequency  :  (거의) 매일 연락한다.

P0 	: 대충 공브니가 이걸로 하자
P0 	: 학원 다닌 건 중국어고
P0 	: 일본어는 학교에서 배운 게 다야
P1 	: 일본어 노래 부른거밖에 생각안나
P1 	: 노래도 기억못하는디
P0 	: 나 노래 기억 나 내가 추천했어
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: ㅋㅋㅋㅋㅋㅋ오타쿠 티를 내었구나
P0 	: 아니야
P0 	: 유명한 거 했어
P1 	: 뭐여ㅆ지 카제노 어쩌구 했던건 기억나는데
P1 	: 이게 가사야 제목이야ㅋㅋㅋㅋ
P0 	: 아
P0 	: 그 고양이의 보은 오에스티 아냐?
P1 	: 오 맞다
P1 	: 바람이 되어라 래ㅋㅋㅋㅋ
P1 	: 근데 이게 어뜨케 오타쿠티안낸거람
P0 	: 라라라라라 카제니 나루~
P0 	: 그거 내가 추천한 거 아니야
P0 	: 그리고 지브리면 덜 오타쿠 같지
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 지브리.. 자꾸 오타쿠들은 연막으로 사용됨
P1 	: 들의
P1 	: 학교에서도 지브리 많이 틀어줬던거 같애ㅋㅋㅋ
P0 	: 근데 내가 추천한거 시달소 오에스티여서
P0 	: 지브리보다 더 덕내남
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 숨길 마음이 없었지?
P0 	: 아냐 그거 나름 유명작이라구ㅠㅠ
P0 	: 심지어 나는 보 지도 안 았어
