# FILE DATA
ID : MDRW2100043004
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210907
topic : 쇼핑과 상품

# SPEAKER_INFO
id : 1
age : 20대
occupation : 사무 종사자
sex : 여성
birthplace : 경북
principal_residence : 경북
current_residence : 경북
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 학생
sex : 여성
birthplace : 경북
principal_residence : 경북
current_residence : 경북
device : PC(데스크탑/노트북)
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 최근에 사신 것 중에 가장 만족스러우셨던게 무엇인가요?
P1 	: 저 이번에 토스트기를
P1 	: 당근마켓에서 샀는데 ㄹㅇ인생이 윤택해졌어요
P1 	: &name1&님은 어떠세요
P0 	: 와 토스트기
P0 	: 저 살려고 간보고있었는데 많이 좋나요?
P0 	: 저는 뭘샀지 산건 많은데 다 오고있어요 지금
P0 	: 아 최근에 산거중에 젤 비싼건 갤럭시워치4요 ㅋㅋㅋ
P1 	: ㅋㅋㅋㅋㄱ토스트 필립스껀데 ㄹㅇ괜찮습니다 빵이 바삭하고 편해요
P1 	: 갤럭시워치 4어때요
P1 	: 저도 봤는데 좀탐나던데ㅠ
P0 	: 사실 솔직히말하면 비싼 갤핏같아요
P0 	: 갤핏쓰다가 넘어온건데 갤핏이 너무 잘나와서 그런지ㅋㅋㅋㅋ
P1 	: ㅋㅋㅋㅋㄱ아ㅠ단호하고 객관적인후기
P1 	: 지갑다시 닫았어요
P1 	: 워치4가 그 인바디?되잖아요
P1 	: 해보셨어요?
P0 	: 아 물론이죠
P0 	: 한번하고 그 워치 화면에서 바로 안보이게 해놨어요
P0 	: 체지방률 들킬까봐 어휴
P1 	: ㅋㅋㅋㅋㄱㅋㄱㄱ아ㅠ개웃겨 어떻게 나왓길래ㅠ
P0 	: 워치는 잘못이없죠....
P0 	: 죄가 있다면 사실대로 측정했다는거 정도....
P0 	: 눈치껏 낮췄어야지
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㄱㅋㅋㄱㄱ그럼 안되는거잖아요
P1 	: 워치4  정확하게 재는군요..
P0 	: 네네.. 그래도 예쁘니까 봐줬어요
P0 	: 스트랩 바꿨더니 얼마나 귀엽던지....
P0 	: 아 저 어제 닥마 샀는데 혹시 신어보셨어요?
P1 	: 헐 세일하던데
P1 	: 닥마 하나 품에 잇어요
P1 	: 하네스라고ㅠ
P0 	: 오마이갓
P0 	: 헉 방금 검색해봤는데 멋있네요
P0 	: 저는 맨날 앓기만하다가 이번에 처음으로 1460모노 샀어욬ㅋㅋㅋㅋㅋ
P1 	: 와ㅠ 것도 예쁘죠
P0 	: 역시 처음엔 기본이 제일...
P1 	: ㄹㅇ가을에 맞는 신발
P1 	: 그쵸그쵸~~!!
