# FILE DATA
ID : MDRW2100024817
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210831
topic : 날씨와 계절

# SPEAKER_INFO
id : 1
age : 40대 이상
occupation : 기타
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 40대 이상
occupation : 단순 노무 종사자
sex : 여성
birthplace : 대전
principal_residence : 대전
current_residence : 경기
device : 스마트폰
keyboard : 단모음

# SETTING
relation  :  가족>부부
intimacy  :  5
contact_frequency  :  주 3회 이상

P0 	: 비가오네
P1 	: 그러게
P0 	: 여름인가봐
P1 	: 구질구질
P0 	: 장마 싫어
P1 	: 응 가을장마
P0 	: 언제 까지 올까
P1 	: 나두싫어
P0 	: 나두
P1 	: 알수없지
P0 	: 김치전 맛있는데
P1 	: 난 가을 좋아하는데 날씨는 영~
P0 	: 난 봄이 좋아
P1 	: 요즘은 아닌듯
P0 	: 그러게
P1 	: 계절을 바꿔야할까봐
P0 	: 온난화ㅠㅠ
P1 	: 난 그래도 가을
P0 	: 가을은 풍성해
P1 	: 습도 높은 날은 정말 싫어
P0 	: 나두
P1 	: 나도
P0 	: 단풍구경 가면 좋지
P1 	: 단풍 좋아요
P0 	: 알록달록 좋아
P1 	: 은행잎
P0 	: 단풍잎도 이뻐
P1 	: 국화
