# FILE DATA
ID : MDRW2100002188
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210820
topic : 기타 사회 생활 및 활동>군대

# SPEAKER_INFO
id : 1
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 대구
principal_residence : 대구
current_residence : 대구
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 학생
sex : 여성
birthplace : 대구
principal_residence : 대구
current_residence : 대구
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  학교/학원>동기/동창/동급생
intimacy  :  5
contact_frequency  :  주 3회 이상

P1 	: 자취하면 집안일이 엄청 많아진다던데
P0 	: 최근에 나는 50사단 앞에 갔었어.
P0 	: 나는 며칠전에 50사단 앞에 갔단다.
P0 	: 그쪽에 우리가족이 이용하는 정육점이 있기 때문이지.
P0 	: 그런데 내가 거기에서 뭘 봤는지 아니?
P1 	: 뭘?
P0 	: 군대 앞에 그렇게 많은 사람들은 처음 봤단다.
P0 	: 아마 그 날이 입대일이었나봐.
P1 	: 왜그렇게 많았대?
P1 	: 아아 우와 신기하다
P1 	: 근데 너 오빠 입대할때 따라가보지않았어?
P0 	: 입대준비물품을 파는 아저씨와, 사람들. 그리고 고깃집에는 차들이 즐비해있었어.
P0 	: 아마 마지막 만찬을 즐기는 것이겠지.
P1 	: 우와 입대준비물품도 파는구나
P0 	: 나는 오빠가 입대할 때 많이 가고싶었어.
P0 	: 하지만 그당시 나는 고삼이었고,
P1 	: 하긴 50사단 근처에는 맛집이 많으니까 만찬 즐기기 좋겠다
P0 	: 잠깐 외출 나왔을 때에도 선생님이 만류하여 갈 수 없었어.
P1 	: 아 그럼 진짜로 처음 봤겠네
P1 	: 나도 한번도 본적없어
P1 	: 나는 남자형제가 없으니까
P0 	: 보호자들만 만찬을 즐기던것일까?
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ아무래도 보호자들도 힘들지
P0 	: 머리를 밀은. 사람들은. 볼 수가 없었어.
P0 	: 보호자들만 만찬을 즐기던 것일까?
P1 	: 헐 그럼 진짜 전부 보호자들인가봐
P1 	: 아무래도 밥은 먹고 살아야하니까
P0 	: 왜 아이는 두고
P0 	: 아 그렇구나
P0 	: 아이를 군대로 떠나보낸 슬픔을 소고기로 치유했던 것일까?
P0 	: 아무튼 신기한 경험이었단다.
P0 	: 입대릏 하는 무리는 처음봤어.
