# FILE DATA
ID : MDRW2100042010
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210906
topic : 날씨와 계절

# SPEAKER_INFO
id : 1
age : 30대
occupation : 전문가 및 관련 종사자
sex : 여성
birthplace : 인천
principal_residence : 인천
current_residence : 인천
device : 스마트폰
keyboard : 천지인

id : 2
age : 30대
occupation : 사무 종사자
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 비 와요ㅜㅜ
P1 	: 우산 객기로 안가져왔어요ㅜ
P0 	: 앗 이런ㅠ
P0 	: 우산 없어도 될 정도의 비인가요?
P1 	: 네 들기도 애매 안들기도 애매ㅋㅋ
P1 	: 이제 집도착해요
P0 	: 아 비 더 내리기 전에 집에 들어가신거죠?
P1 	: 네! 간발의 차였어요!!!
P1 	: 거기도 비 많이 와요?
P0 	: 저희 동네는 꽤 많이 와요
P0 	: 집 안에서도 빗소리 들릴정도
P1 	: 여기도요!!
P1 	: 집에 있을때 비오면 기분 좋아요!
P0 	: 저도 퇴근하고 집에 온 다음에 본격적으로 비가 내려서
P0 	: 지금은 집에서 빗소리 듣고 있어요
P0 	: &name2&님도 간발의 차로 큰 비는 피했다니 다행이네요
P1 	: 따뜻한 방에서 누리세요!
P1 	: 그러니까요 큰일날뻔
P1 	: 낼 출근길엔 안왔으면
P0 	: 네네 집안에서 듣는 빗소리는 좋죠
P0 	: 저희 동네는 내일 오전까지 온다고는 그러더라고요
P0 	: 일기예보 보니
P1 	: 부디 틀려서 빨리 그쳤음 좋겠어요!
P0 	: 네 출근길은 맑길
P0 	: 비 오는 출근길은 싫어요ㅜ
P1 	: ㅋㅋ 맞아요ㅜㅜ 마구 쏟아질때 출근하려고하면 속상해요
P0 	: 저는 출퇴근을 대중교통으로 해서
P0 	: 비 오면 정말 축축하고 힘들어요
