# FILE DATA
ID : MDRW2100008785
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210822
topic : 쇼핑과 상품

# SPEAKER_INFO
id : 1
age : 20대
occupation : 학생
sex : 여성
birthplace : 인천
principal_residence : 인천
current_residence : 인천
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 학생
sex : 여성
birthplace : 서울
principal_residence : 인천
current_residence : 인천
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  지역>고향 및 이전 거주지 지인
intimacy  :  4
contact_frequency  :  주 1회 미만

P1 	: 뭐 사고 싶은 거 있으?
P0 	: 요즘그옷사는데
P1 	: 무슨 옷?
P0 	: 그거바지랑
P0 	: 티사는데
P0 	: 원래있던옷싹다정리했거든
P0 	: 치마랑이런거정리했는데
P0 	: 옷절반이사라짐
P0 	: 다시사야됨
P1 	: ㅌㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅌㅋㅋㅋㅋㅋㅋ
P0 	: 아맞아
P1 	: 이런
P1 	: ??
P0 	: 그리고
P0 	: 아
P0 	: 어디였는지기억안나는데
P0 	: 티4개파는거샀었는데
P0 	: 엄청쌌거든
P0 	: 근데생각보다질이좋았음
P0 	: 만오천원인가그랬음
P1 	: 오 그럼 대박이네
P1 	: 오오오
P0 	: ㅇㅇㅇ너는사고싶은거있냐
P1 	: 뭐야 만오천원에 4장이면 괜첞네
P0 	: 그치
P1 	: ㅇㅇㅇㅇㅇㅇㅇ
P1 	: 나는 로맨틱 크라운 니트
P0 	: 니트?
P0 	: 이날씨에?
P1 	: 아니 뭐 가을이니까 무ㅠ
P0 	: ???ㅋㅋㅋㅋㅋ너무이른거아니냐
P1 	: 원래 지금 니트 사야 가을에 입을 수 있을 걸???
P1 	: ㅋㅌㅌㅌㅋㅋㅋㅋㅋㅋ
P0 	: 아 그치 배달 걸리는 시간도 있으니까
