# FILE DATA
ID : MDRW2100037284
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210831
topic : 연애와 결혼

# SPEAKER_INFO
id : 1
age : 30대
occupation : 기타
sex : 여성
birthplace : 경남
principal_residence : 경남
current_residence : 경남
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 학생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 그걸 남한태 보여주고 살아요? 대단하네요 ㅡㅡ;;;
P1 	: 네... 인스타에 올라오더라구요...
P0 	: 자식이 뭘 보고배울지 걱정되네요
P1 	: 그리고 또 다른 친구는
P1 	: 자꾸 수술복 입은 남편 사진을 올려요
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 아니 걔 계정인지
P1 	: 남편 계정인지
P0 	: 아 저 아는 언니도
P0 	: 의사남친은 아닌데
P0 	: 암튼 만나면 남친이야기만 하더라구요
P1 	: 하...
P1 	: 아니근데 그런 분들 너무 신기하지 않아요?
P1 	: 뉴스만 봐도
P1 	: 여혐 범죄가 얼마나 많고
P1 	: 박사방... 성매매.. 이런거 보면
P1 	: 자기 남친 남편은 다를 줄 아나
P0 	: 그니까요 어떤 아줌마 중에
P0 	: 온라인으로 아는 아줌만데요
P1 	: 네네네
P1 	: 남편한테 자아의탁 하나요?
P0 	: 가끔 삼십분만 친구공개글
P0 	: 이러면서 우리남편 서울대교수
P0 	: 이러는 아줌마있었어요
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 아니 저걸 어디다 올려요?
P1 	: 아니 근데 ㅋㅋㅋㅋㅋㅋ
P1 	: 제가 대학원생이라 교수님들 잘 아는데
P1 	: 교수들 진짜 더럽게 놀아요 ㅋㅋㅋㅋㅋㅋ
P0 	: 모 sns사이트에요 ㅋㅋㅋ
P1 	: 어휴 진짜 ㅋㅋㅋㅋㅋㅋ
P0 	: 네 뭐 그리 믿진 않습니다
P1 	: 저희 학과는 어떤 남자 교수가 불륜 저질러서
P1 	: 사모님이 애 데리고 와서
P1 	: 오피스 문 쾅쾅쾅 두들기면서 소리 질러가지고
P1 	: 그 연구실 대학원생들이 달래느라 힘들었대요
