# FILE DATA
ID : MDRW2100001749
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210819
topic : 학교 생활

# SPEAKER_INFO
id : 1
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 대구
principal_residence : 대구
current_residence : 대구
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 10대
occupation : 학생
sex : 여성
birthplace : 대구
principal_residence : 대구
current_residence : 대구
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: &name2&이님은 학생이세요?
P1 	: 네 학생이에요
P1 	: 지금 중간고사가 일주일정도 남아서
P1 	: 공부하느라바쁘죠
P0 	: 헐 얼마안남았네요!!
P0 	: 요즘에도 학교 가요? 정규수업 해요?
P1 	: 네 저희는 정상등교해요!
P1 	: &name1&님은 학생이신가요? 학교 다니세요?
P0 	: 저는 대학교까지 다 졸업해서... 다른 시험 준비해요!
P0 	: 대학교까지 다 나와도 시험은 끝이 없네요....
P0 	: 학교에서는 어떤 동아리 해요??
P1 	: 와.. 대학교까지 졸업해도 시험이 여전하다니..끔찍하네요
P1 	: 동아리는 교육동아리 하는데 활동은 잘 안해요
P0 	: 교육동아리면 생활기록부에 적히기에 좋겠네요!!
P0 	: 시험은 3일동안 봐요?
P1 	: 네! 3일동안 해요
P0 	: 시험 다 끝나면 짧게 방학하나요...? 여름방학이 늦네요...
P1 	: 여름방학 끝났어요ㅜ 개학한지 얼마안됐어요
P1 	: 고삼이라서 중간시험을 개학거의 하자마자
P1 	: 치거든요ㅠㅠ
P0 	: 허얼 그렇구나
P0 	: 아 왠지 ㅜㅜ 친구가 초등학교선생님인데 초등학생들 곧 개학한다고 그러더라고요.... 그래서 고등학생이나 중학생은 개학을 벌써한건지.. 아직 방학도 안한건지..궁금했는데
P0 	: 그러면 정상등교하는거니까 완전 아침에 가야겠네요ㅜ
P0 	: 9시 등교예요?
P1 	: 아니요 저희는 7시 50분까지가요ㅜ
P1 	: 일어나기힘들죠
P0 	: 허얼 아직도....
P0 	: 저는 늦게자는건 되는데 일찍 일어나는 건 못해서 학교다닐 때 매일 아슬아슬하게 도착하고 그랬어요ㅠ
