# FILE DATA
ID : MDRW2100032793
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210905
topic : 콘텐츠>영상/음원 콘텐츠

# SPEAKER_INFO
id : 1
age : 20대
occupation : 기타
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 충남
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 학생
sex : 여성
birthplace : 울산
principal_residence : 경북
current_residence : 경북
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 진짜 저 노래도 다 알고.. 다 좋아하고..말해뭐해요 아이유잖아툐,,
P1 	: ㅠ ㅠㅠㅠㅜㅜㅜ
P1 	: 긍까요!!!!! 대중들도 많이 좋아하니까!!!!
P1 	: 진짜 3단고음 대박..
P0 	: 제가 막 엄청 좋아해도 ㅇㅋ고 엄청 얌전해도 ㅇㅋㅇㅋ인 느낌
P1 	: 귀에서 성수흐르시겠어요,,
P0 	: 아이유 콘은 좀 하이브리드로 태도를 변경 가능해요
P1 	: 아 뭔느낌인지 알겠아요 ㅋㅋㅋㅋㅋㅋ
P0 	: 그래서 아 아이유 뽕차오른다 하면 우와아아아각 하고
P1 	: 완전 덕후들만 모인곳에 나는 덜 덕훈데..가면.. 진짜 나혼자만 갑분싸되거든요,,
P1 	: 하..
P1 	: 진짜 대박일거같아요...
P1 	: 라이브로 듣고 싶은 곡 너무많음데ㅜㅠ
P0 	: 아 좀 힘든데? 하면
P0 	: 갱장한 리스너에 빙의해서
P0 	: 눈감고 듣는척 쉬면 조아요
P1 	: 아 약간 나는 노래를 음미하면서 듣는다
P1 	: 와
P1 	: 진짜 개좋을거같아요,,,
P0 	: 노래도 솔까 다 아는 곡이라
P0 	: 쳐지지가 아나요
P1 	: 맞아요 ㅋㅋㅋㅋㅋㅋ
P0 	: ㅋㅋㅋㅋㅋ진짜 다 알아서 와.. 나 사실 유애나인가?
P0 	: (아님)
P1 	: 아 개웃겨욬ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 이런 착각으로 잘 즐길 수 있어요
P1 	: 거의 마음으론
P1 	: 유애나하고 친구먹었다
P0 	: 그래서 진짜 추천입니당
P0 	: 앵콜 앵앵콜 그냥 서비스 막 줘요
P0 	: 그래서 저 도중에 나갔어요
