# FILE DATA
ID : MDRW2100033637
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210824
topic : 쇼핑과 상품

# SPEAKER_INFO
id : 1
age : 30대
occupation : 기타
sex : 여성
birthplace : 경북
principal_residence : 대구
current_residence : 대구
device : 스마트폰
keyboard : 천지인

id : 2
age : 20대
occupation : 사무 종사자
sex : 여성
birthplace : 전북
principal_residence : 전북
current_residence : 전북
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 뭐 사고싶은 거 있으세요?
P0 	: 저는 사고싶은건많아요ㅋㅋ
P0 	: 백도 사고싶고ㅋㅋ
P0 	: 옷도 사고싶네요ㅋ
P1 	: 저도여ㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 어떤 가방
P1 	: 사고싶으세요
P0 	: 그냥 마음은 ㅋㅋㅋ명품백사고싶네요ㅋㅋ
P0 	: 샤, ..넬.. ㅋㅋㅋㅋㅋㄱㅋ
P0 	: 마음만요 히히
P1 	: 어머 저두요
P1 	: 샤넬 진짜
P1 	: 예뻐요
P0 	: ㅋㅋㅋㅋㅋ맞아요. 예쁘죠ㅋㅋ
P0 	: 원하시는 색상있나요?
P1 	: 전 블랙이요
P1 	: 샤넬 호보백 너무 갖고싶어요 ㅎ
P0 	: 저도 블랙이요ㅋ
P0 	: 호보백 이쁘죠ㅋㅋ
P1 	: 네 엄청이요 ㅠ
P1 	: 구하기도 힘들죠
P0 	: 그렇죠ㅠㅜ
P0 	: 사기힘들어요.
P1 	: 네 ㅠㅠ
P1 	: 사려먄 오픈런도 백화점에서
P1 	: 뛰어야하고.. 충격..
P0 	: 돈있어도 못사죠ㅜㅋㅋ
P1 	: 맞아요 ㅎ ㅎㅎ
P1 	: 사기 힘든놈 ㅠㅠ
P0 	: 비싸요.ㅜㅜㅋㅋ
