# FILE DATA
ID : MDRW2100014532
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210825
topic : 일상 트렌드>싸이월드 부활

# SPEAKER_INFO
id : 1
age : 30대
occupation : 판매/영업 종사자
sex : 남성
birthplace : 충북
principal_residence : 충북
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 30대
occupation : 전문가 및 관련 종사자
sex : 여성
birthplace : 울산
principal_residence : 울산
current_residence : 대전
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 싸이해보셨나요?
P1 	: 싸이 도토리질 좀 했지
P0 	: 그 시간에 공부를 하시지.. ㅋㅋㅋㅋ
P0 	: 싸이월드가 부활하나봐?
P1 	: 아니 나 공부 못하진않았다곸ㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 싸이 부활소식 들었움 !
P1 	: 근데 예전만큼 싸이가 다시 활성화될수있을깡
P0 	: 글쿠나... 근데 너무 옛날꺼라.. 누가 할려나..
P0 	: 일촌 많았어?
P1 	: 아니
P1 	: 일촌많은애들 좀 부러워했던거같음ㅎㅎ...
P1 	: 넌 일촌 많았어?
P0 	: 너무 옛날이라... 한 100명있었나?
P0 	: 난..아싸라.. 
	  인싸한테 친구비 상납하면 일촌해주고그랬어..ㅋㅋㅋㅋ
P1 	: 친구비 상납이라니 너무 무서운데ㅋㅋㅋㅋㅋㅋㅋ
P1 	: 싸이 부활하면 그때 그 일촌들도 그대로 남아있으려나
P0 	: ㅋㅋㅋ 어.. 그러게.. 
	  궁금하긴하다..
P0 	: 근데 부끄러울듯..
P0 	: 넌 견딜 수 있어? 그때 그 사진.. 코멘트.. ㅋㅋ
P1 	: 나두..... 만약 부활하면 계정삭제부터 할 사람 많을거야....
P0 	: 근데 아이디 자체가 기억이 안나..
P0 	: 전번도 10번은 바꿨고..ㅋㅋ
P1 	: 나도 하나도 기억안남ㅎㅎ
P1 	: 다른사람도 다 그때의 나를 기억못해줬으면 좋겠다 흑흑
P0 	: 근데 난 한결같아.. 미남형이야.. ㅋㅋㅋ
P1 	: 흐음
P1 	: 공부잘했다는건 믿어줄건데 그건 믿기가 어렵다
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
