# FILE DATA
ID : MDRW2100001017
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210820
topic : 일과 직업

# SPEAKER_INFO
id : 1
age : 20대
occupation : 학생
sex : 여성
birthplace : 전남
principal_residence : 전남
current_residence : 전남
device : 스마트폰
keyboard : 천지인

id : 2
age : 20대
occupation : 사무 종사자
sex : 여성
birthplace : 전북
principal_residence : 전북
current_residence : 전북
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 아르바이트 한 것 중에 젤 힘든게 뭐였어요?
P0 	: 피씨방알바요..
P0 	: 끔찍했어요
P1 	: 피시방 알바는 괜찮다는 소문도 있는데
P0 	: 아니요..
P1 	: 정말 소문인가요... 어떤점이 힘드셨어요!!
P0 	: 소문은.. 믿지마세요
P0 	: 이게 예전에는 음식이 한정적이었는데
P0 	: 음식만드는거랑.. 방학되면 급식이 몰려오고..
P1 	: 헉ㅋㅋㅋㅋㅋ 맞아요 요즘은 피시방에서
P1 	: 카페랑 밥 둘다 다한다고 하잖아요
P0 	: 음식점이 따로 없더라구요..
P0 	: 그리고 안나가는 인간들은..
P0 	: 거기서살아요
P0 	: ㅋㅋㅋㅋㅋ
P1 	: ㅋㅋㅋㅋ 뭔지 알 거 같아요
P1 	: 방학에 하니까 더 힘드셨겠어요
P1 	: 그럼 쉬운 알바는 뭐 하셨어요?
P0 	: 맞아요 진짜 헬.. 
	  음..제가 알바경험은 많지않아서
P0 	: 영화관 괜찮았어요
P0 	: 표받는 일 했거든요
P1 	: 오 영화관.. 재밌었을 거 같아요
P1 	: 경험은 적어도 굵은 것만 했네요ㅋㅋㅋㅋㅋ
P0 	: 영화관은
P0 	: 메표소가 제일 기피였어요
P0 	: 시재관리 어우 틀리면 눈치 겁나보여요
P1 	: 아 그렇죠 모든 알바에서 돈관리가 어려웠어요
