# FILE DATA
ID : MDRW2100010836
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210823
topic : 여행

# SPEAKER_INFO
id : 1
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 부산
principal_residence : 부산
current_residence : 부산
device : 스마트폰
keyboard : 천지인

id : 2
age : 20대
occupation : 학생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: ㅎㅎ 여행좋아하세요?
P0 	: 여행 좋죠! 국내도 해외도 다 좋아해요
P0 	: 여행좋아하세요?
P1 	: 저두요!! 저 게하 다니는게 꿈인데 코로롱땜시 못이루고잇네요
P0 	: 저두 코로나때문에 작년도 올해도 여행을 못다니고 있는데 자주가던 경주 전주 가고싶어요
P0 	: 이맘때쯤 경주가면 딱인데 말이죠ㅠ
P1 	: 헐 경주는 봄에 벚꽃구경하로 가는거아니에요?
P1 	: 또 볼게 잇나요???
P0 	: 그때는 사람이 꽤 많아서요 이맘때쯤 선선한 바람 맞으면서 자전거타고 한바퀴 돌면 좋아요
P0 	: 사람이 좀 적은편 이였던거 같아요
P1 	: 아하 딱 좋겠네요
P1 	: 지금 한강 주변 돌면 정말 좋은데...
P1 	: 모기가 좀 많을라나?? ㅋㅋㅋㅋ
P0 	: 모기는 많겠네요ㅋㅋㅋㅋ긴바지입고 자전거타고 싶어요
P1 	: 맞아요!!! 시원한 바람 딱 불면서~~~
P0 	: 국내여행지중에 기억에 남는곳 있어요?
P0 	: 크....
P1 	: 저는 얼마 못가봣긴해요
P1 	: 그래도 가장 최근에 간
P0 	: 너무 좋겠네요
P1 	: 강릉이요!
P0 	: 강릉!
P0 	: 저 강릉 평창올림픽때만가봤는데
P0 	: 괜찮은곳 추천해주세요
P1 	: 저는 정동진쪽갔엇는데
P1 	: 정동진보다는 강릉쪽이 할 게 많더라구요
P1 	: 인목해변? 안목해변? 그쪽이 정말 예뻐요
P0 	: 정보감사해요 메모했어요
