# FILE DATA
ID : MDRW2100037816
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210901
topic : 학교 생활

# SPEAKER_INFO
id : 1
age : 30대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 대구
principal_residence : 경북
current_residence : 경북
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 30대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 경북
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  지역>현 거주지 지인
intimacy  :  5
contact_frequency  :  주 3회 이상

P0 	: ㅋㅋㅋ나도 싫어 으으으
P0 	: 아 문과말고 이과를 갈걸 ㅋㅋㅋ죽이되든 밥이되든
P1 	: 이과가면왜??
P0 	: 그냥..ㅋㅋㅋ뭔가 먹고 살 길이 더 좋아보여서..
P1 	: 근가ㅠㅠㅠ
P0 	: 내친구 원예과 갔는데 진즉에 공무원됐음ㅋㅋㅋㅋ
P1 	: 와 진짜 어렸을때했어야했겟지ㅠ?
P0 	: 흑흑 다시 학교를 갈 순 없으니...ㅋㅋㅋㅋㅋ
P0 	: 히융 ㅋㅋㅋㅋ 뭔가 타임머신 만들어죠
P1 	: ㅋㅋㅋ그럼언제로가나요?
P0 	: 원래 학생때로 가서 열공할게 할랬는데 걍 일주일전으로만 가서 로또 1등이나 하자 ㅋㅋㅋ
P0 	: ㅋㅋㅋㅋ일주일전 1등보다 한 십년 전 1등이 훨 많이 주겠지?
P0 	: 10년전으로 보내줘요
P1 	: 헐
P1 	: 빨리가봐
P1 	: 아직600남앗어
P1 	: 나도됨
P1 	: 모지 ㅋㅋㅋㅋㅋㅋ
P1 	: 내일 12시이후에 장바구니에 들온데 배송비내면보내준데
P1 	: 내 문동균 분철 실패를 이렇게 보상? 받는군 무튼 ㅋㅋㅋ
P1 	: 아직도 500개넘게닛어 왜케인기가없지 
P0 	: ㅋㅋㅋ그러게 ㅋㅋ1분이면 소진될줄알았더니
P1 	: 햇쥬!?!
P1 	: 받자받자!!!ㅋㅋㅋㅋ
P0 	: 안했음 ㅋㅋㅋㅋ아이 구차나
P1 	: ㅡㅡ;
P1 	: 이렇게.비협조적이라니!!!!
P1 	: 아직도..500보나남앗어
P1 	: 이게누르고 개인정보동의두 해야한단말이쥬
P0 	: ㅋㅋㅋㅋㅋ슬퍼..민성쌤 왜캐 인기 없어 ㅠ
P1 	: 긍까 민성쌤판서노트강의도잇나
P1 	: 국민 스타뱅크 자판기도함?
P1 	: 근데 꽝은 없어서 꼴지가 비타500이야
P1 	: 난역시비타500이지
P1 	: 한번뿐이니 ㅋㅋㅋㅋ 당타터지면 해봐!
P0 	: ㅋㅋㅋ비타500시러!!!!
P0 	: ㅋㅋㅋㅋ알겠어 당타 기다리고있겠습니다
P1 	: 한열흘남앗느니 기다려봐 ㅋㅋㅋ근데 6시30분쯤 스벅된사람잇네
