# FILE DATA
ID : MDRW2100014204
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210825
topic : 날씨와 계절

# SPEAKER_INFO
id : 1
age : 20대
occupation : 사무 종사자
sex : 남성
birthplace : 전남
principal_residence : 전남
current_residence : 서울
device : 스마트폰
keyboard : 천지인

id : 2
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 요즘 날씨 너무 별로에요
P0 	: 비가 너무 많이와
P0 	: &name2& 지역은 어때요
P1 	: 저희는 비는 안오는데
P1 	: 꿉꿉한거 미쳣어요
P1 	: 제습기 가동했슴다
P0 	: 습한거 너무 싫죠
P0 	: 제습기 부럽다
P0 	: 전 제습기없어서 에어컨틀어놨는데도 습해요
P1 	: 비오면 글쵸ㅜㅠㅠㅠㅠ
P1 	: 긍까요 빨래도 잘 안마르고
P1 	: 좋아하는 계절 뭐라하셨죠
P0 	: 아직 말 안해줬어요
P0 	: 뭘거같아요
P1 	: 쓰읍
P1 	: 제삘에
P1 	: 가을.
P0 	: 세상에
P0 	: 독심술사인가
P1 	: 맞췄나요????
P1 	: 왐마
P0 	: 가을 치고있었거든요
P0 	: 와우
P0 	: 대단하다
P1 	: 한국사람이면 가을이죠.
P1 	: 그때만 살맛난다
P0 	: 그쵸 시원하고
P0 	: 맛있는것도 많고
P1 	: 맞아요
P0 	: 가을 최고
P0 	: 오늘 날씨어때요
