# FILE DATA
ID : MDRW2100007497
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210822
topic : 일상 트렌드>재택근무 일자리

# SPEAKER_INFO
id : 1
age : 20대
occupation : 학생
sex : 여성
birthplace : 전북
principal_residence : 대전
current_residence : 세종
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 30대
occupation : 사무 종사자
sex : 남성
birthplace : 경기
principal_residence : 서울
current_residence : 경기
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 직장 다니시고 계신가요?
P1 	: 네~ &name1&님은요?
P0 	: 저는 학생이라서 아직이에요ㅎㅎ
P0 	: 코로나 때문에 재택근무하시나요?
P1 	: 아니요ㅎㅎ 재택못하는 직종이라서
P1 	: 학생 부럽습니다
P0 	: ㅋㅋㅋㅋㅋ저도 곧 일하게 될텐데요ㅠ
P0 	: 전 집순이라 재택근무 일자리도 솔깃한 것같아요
P0 	: 재택근무 일자리는 뭐가 있을까요..
P1 	: 음 대면업무가 아니여야죠?ㅎㅎ
P0 	: 아 그렇죠ㅎㅎ 제가 바로 떠오르는건
P0 	: 작가인 것같아요
P1 	: 그쵸ㅎㅎ 국문과이신가보네요
P0 	: 앗 전 국문과는 아닌데
P0 	: 뭔가 만화작가가 떠올라서요
P0 	: 방금 웹툰을 보고 있었거든요ㅋㅋㅋㅋ
P1 	: 아ㅎㅎ 그렇군요~~
P1 	: 재택은 음
P1 	: 무역쪽도 가능할듯해요
P0 	: 그런가요?
P0 	: 일반 업무를 보면 가능할까요
P1 	: 네 서류 업무만 하면!!
P0 	: 오오 제가 미생같은 드라마를 많이 봐서 그런지
P0 	: 무역회사에서 애초에 재택근무한다는걸 생각해본 적이 없는 것같아요
P1 	: 무역회사에도 페이퍼워크 있어요ㅎㅎ
P0 	: 앗 그렇구나 페이퍼워크가 뭔가요??
P1 	: 서류 업무요!
P1 	: 재택 가능한 ㅎㅎ
P0 	: 단순히 이런 용어만 써도 멋져보이는....ㅋㅋㅋㅋㅋㅋ
P0 	: 재택근무든 뭐든 일을 가졌으면 좋겠어요
P1 	: ㅎㅎ 아직 어리셔서 그런걸거에요
P1 	: 때되면 다 멋진 어른이 될겁니다
P0 	: 우왕 그랬으면 좋겠어요
