# FILE DATA
ID : MDRW2100023209
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210829
topic : 식음료

# SPEAKER_INFO
id : 1
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 학생
sex : 여성
birthplace : 서울
principal_residence : 경기
current_residence : 경기
device : PC(데스크탑/노트북)
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 선택은 선생님의 몫입니다(?
P1 	: 여기 아웃백은 안 가봤고 텍사스뭐시기하우스는 가봤는데
P1 	: 괜찮았엉
P0 	: 뭘 선택해야하는지 모르겟어요
P0 	: 텍사스 뭐시기가 뭐여
P1 	: 텍사스로드하우스
P1 	: 전국에두곳에만잇습니다
P1 	: 근데식전빵생각하면 아웃백인가
P1 	: 그럼아웃백인가???
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 이번엔 아웃백 가구 다음에 다른 곳 가기?
P0 	: 솔직히 식전빵 망고 스프레드 맛으로 먹는거긴해...
P1 	: 엥 그런가?
P1 	: 전 그냥 빵도 맛잇게 먹엇어서ㅋㅋㅋㅋㅋㅋ
P1 	: 역시 내가 pig겟지
P1 	: 알겟습니다...
P1 	: 좋아요 그럼 17일에 아웃백 가는걸로
P0 	: 진짜??ㅋㅋㅋㅋㅋㅋ아냐 근데 그냥도 존맛인디...
P1 	: 아니 약속을 여기서 잡네 웃기다
P0 	: 버터도 존맛이여...
P0 	: yes~
P1 	: 난 스프레드 맛이 기억이 안나.........
P0 	: 아앗....아아ㅏ....
P0 	: 슬푸네욤ㅠ
P1 	: 17일에 먹으면 되니까용^^
P1 	: 헤헤 다른 메뉴도 골라놓고 잇어야지
P1 	: 신난당 /춤
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 멋져요잉~점심때 가면 굳이 스테이크 안먹구 다른거 골라두 되구
P1 	: 어
P1 	: 샐러드바 이런거 시키면 식전빵 안 나오지 않나?
P1 	: 다른게 있나???
P0 	: 점심메뉴는 시키면 식전빵 다 줄걸!
P0 	: 사진을 보여줄수가 업네 촴나...
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋ아 (여기서는 하면 안 될 말)
P1 	: 메뉴 뭐있나 보러갑니다
P1 	: 파스타밖에 생각이 안 나
P0 	: 나도 투움바 파스타 밖에 뇌에 없는...
P1 	: 왜 제 뇌랑 동기화하시죠? ㅋㅋㅋㅋㅋㅋㅋ
P0 	: ㅋㅋㅋㅋ그치만그치만...
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 메뉴보고왔는데
P1 	: 대충 스테이크 파스타 샐러드
P1 	: 이렇게 나뉘나보다
P0 	: 마줘요~
P0 	: 일단 투움바 하나 시키구 하나는...머먹고 싶을것같아?
P0 	: 무려 18일 남은 질문
P1 	: 아나
P1 	: 미리미리인간이냐고
P1 	: 개웃겨ㅋㅋㅋㅋㅋㅋ
P1 	: 스테이크집이니까
P1 	: 역시 스테이크가 좋지 않을까요?
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋ근데 막 딱히 스테이크 잘한다는 인상은 별로 없엇어서 딴거 먹고 싶은거 잇음 먹어두 될듯
P0 	: 약간 스테이크가 다 스테이크지 뭐...하는 저의 막입탓두 잇긴한데
P1 	: ㅋㄱㅋㄱㅋㅋㅋㅋㅋㅋㅋㅋㅋㅇㅈ... 합니다
P1 	: 근데 파스타 아니면 샐러드밖에 없거든
P1 	: 그럼 둘 다 파스타 각인가?
P0 	: 그래두 되구 스테이크 시켜두 되구 님ㅋㅋㅋㅋㅋ샐러드 먹어야하만 샐러드 시켜두 되구ㅋㅋㅋㅋ
P1 	: 샐러드질렸어...
P1 	: 하루정도는그만먹고싶어(맊...
P1 	: 님은 가서 뭐 먹을건데??
P0 	: 나 투움바 파스타....
P0 	: 절대 투움바해
