# FILE DATA
ID : MDRW2100040839
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210905
topic : 여행

# SPEAKER_INFO
id : 1
age : 30대
occupation : 사무 종사자
sex : 여성
birthplace : 부산
principal_residence : 부산
current_residence : 부산
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 경남
principal_residence : 경남
current_residence : 서울
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 여행 추천지 있어?
P1 	: 음 제주??
P1 	: 너무 흔한가 ㅋㅋㅋ
P0 	: 아그래?
P0 	: 제주가 최고지
P0 	: 난 후쿠오카 또 가고파
P1 	: 오ㅜㅜ 나도 일본가고싶어
P1 	: 코시국 대체 언제까지갈까ㅎㅎ..
P0 	: 그러게ㅠㅠ
P0 	: 2022년엔 왠지 끝날거같아
P1 	: 오
P1 	: 멀다 ㅜㅜ
P1 	: 그래도 이제 슬슬 끝날 기미가 보이는거같긴해
P0 	: 그치?
P0 	: 인도친구가 예언했대 여태 잘 맞았던 친구가
P1 	: 오오오
P1 	: 빨리끝났으면ㅠ
P1 	: 되는일이 없어
P0 	: 그러게
P0 	: 담주엔 경주가고싶어
P1 	: 오 경주좋지
P1 	: 나 중고딩때 자주갔었어
P0 	: 코로나전엔 자주갔는데 그러곤 통 못갔네
P1 	: 맞아
P1 	: 코로나이후엔
P1 	: 모든게멈춘느낌ㅎㅎ
P0 	: 그래맞아
P1 	: 벌써2021 반 넘은게 충격이다
