# FILE DATA
ID : MDRW2100047035
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 카카오톡
date : 20210805
topic : 기타/일상

# SPEAKER_INFO
id : 1
age : 30대
occupation : 사무 종사자
sex : 여성
birthplace : 부산
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 사무 종사자
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  기타>온라인 커뮤니티
intimacy  :  4
contact_frequency  :  주 3회 이상

P0 	: 일어나쓰?
P0 	: 일어나라 게럽게럽
P1 	: 나 이미 일어났어,,,,
P1 	: ㅋㅋㅋㅋㅋ나 지굼 회사ㅠ
P1 	: 오늘 진짜 심각하게 덥고라
P0 	: 아 진짜? 안나갈래 집콕이다 집콕 
P0 	: 더운날은 집콕이지
P0 	: 회사는 시원하지?
P1 	: 에어컨 방금 막 틀어서 조금 덥긴 한데
P1 	: 곧 시원해 지겠지..?
P1 	: 근데 오늘 왤케 일찍 일어났어??
P0 	: 풀파워로 틀어!! 에어컨 가즈아ㅋㅋㅋㅋㅋㅋ
P0 	: 나도 일은 해야지......구박들으면서 일어남
P0 	: 당장 출근하라곸ㅋㅋㅋㅋㅋㅋㅋ
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋ힝구
P1 	: 집이 좋은걸,,,
P1 	: 그래도 나 낼이랑 월요일 연차 써서
P1 	: 오늘만 버티면 주말이야!!!!
P0 	: 오~ 주르륵!!
P0 	: 여름 휴가야? 
P1 	: 휴가 아닌 휴가?
P1 	: 어디 놀러가진 않고
P1 	: 그냥 좀 집에서 쉴라고ㅜㅜ
P0 	: 집콕이 최대 휴가야
P0 	: 지난 주에 어디 시원하게 바다바람이나 쐴까 드라이브 갈라다가
P0 	: 뜨거워서 차 밖으로 못나갈거 같아서 그냥 시내만 돌았자낰ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ진짜 그럴수 밖에 없어,,,
P1 	: 차 안에 있어도 덥지않아??
P0 	: 에어컨 빵빵하게 트는거지 
P0 	: 더운건 참을 수 없그든ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 역시 그렇지?ㅎㅎㅎㅎㅎㅎ
P1 	: 근데 어제 밤에 잠깐 산책 했는데
P1 	: 밤엔 좀 바람 불더라!
P0 	: 으으 그래도 
P0 	: 뭔가 습한 바람이라 해야되나..? 
P0 	: 더워더워어 얼른 가을아 와라ㅜㅜ
P1 	: ㅜㅜ진짜
P1 	: 난 겨울이 젤 조하,,
P1 	: 여름 너무 힘들어
P0 	: 난 수족냉증이얔ㅋㅋㅋ겨울은 또 손발이 다 얼어서...
P1 	: 오 나두 수족냉증
P1 	: 근데 그래도 겨울이 좋아
P1 	: 여름에 땀나는거 너무 힘들어ㅠㅠ
P1 	: 땀도 나는데 심지어 마스크가 땀 먹어서 얼굴에 뭐 엄청많이나,,
