# FILE DATA
ID : MDRW2100041304
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210905
topic : 일과 직업

# SPEAKER_INFO
id : 1
age : 30대
occupation : 기타
sex : 여성
birthplace : 부산
principal_residence : 대구
current_residence : 대구
device : 스마트폰
keyboard : 나랏글

id : 2
age : 30대
occupation : 전문가 및 관련 종사자
sex : 여성
birthplace : 광주
principal_residence : 광주
current_residence : 광주
device : PC(데스크탑/노트북)
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 어떤일을 하시나요??
P1 	: 저는
P1 	: 하....좡애in 복지쪽이에요
P1 	: 자꾸 나쁜말이라고 나오네요ㅋㅋㅋㅋㅋ
P0 	: 아 ㅎㅎㅎ 얘가 말을 좀 그렇게 알아듣죠?? ㅎㅎ
P0 	: 어이쿠 힘드시겠어요
P0 	: 복지관련은 힘드시지않나요??
P1 	: 네 굉장히 힘들어요
P1 	: 몸이 골병나요
P1 	: 정신적으로 스트레스도 있지만 직원들땜에 스트레스가 많음
P0 	: 어후 ㅠ 말만 들어도 힘드시겠어요
P0 	: 직원들도 별로 이신가봐요 ㅠ
P1 	: 넹....
P1 	: 상사..,도 도라이고
P1 	: 회사마다 도라이는 한두명 있다는데 여긴 집단으로 있어서 ㅎ 저도 돌아버린
P0 	: 아하.....
P0 	: 안그래도 복지면 진짜 힘드시겠는데
P0 	: 상사까지 도.라.이면 진짜...
P0 	: 집단.도.라.이 라니.... ㅠ
P1 	: ㅠ... 일하는거는 이제 어느정도 익숙해졌는데
P1 	: 하..... 진짜 직원들... 
P0 	: 직원들이 더 힘들죠
P0 	: 전 서비스업인데
P0 	: 진.상.사람들 정말 많지만
P0 	: 그래도 직원들이 좋아서 할만하거든요
P1 	: 아ㅜ 서비스업
P1 	: 진상...들 많죠
P1 	: 증말 진상들
P1 	: 직원이라도 좋아서 다행이네요
P0 	: 네
	  그나마 다행이예요
P0 	: 같이 욕. 할수도 있고
P1 	: 맞아요 그게 은근 버팀목이더라고요
P1 	: 맘맞는 직원이 있으면 좋은거같아여
P0 	: 네 맞아요
P0 	: 저도 진.상 사람들 전화받고 마주할때만 진짜
P0 	: 기가 다 빨리는거 같거든요
P0 	: 말도 안통하고
