# FILE DATA
ID : MDRW2100020235
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210828
topic : 쇼핑과 상품

# SPEAKER_INFO
id : 1
age : 20대
occupation : 기술직 종사자
sex : 여성
birthplace : 부산
principal_residence : 부산
current_residence : 부산
device : 스마트폰
keyboard : 천지인

id : 2
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 저는 요즘 뭘 사야 잘 샀다고 소문이 날까 고민 중이예요
P1 	: 일기를 쓰고 받은 보너스가 3만원 쯤 있는데
P1 	: 어디에 써야 만족할 지 궁리하느라
P1 	: 한 2달 정도 고민 중이예요
P1 	: 맨날 장바구니에 물건 담았다가 삭제하길 반복하고 있어요ㅋㅋㅋ
P1 	: &name1&도 혹시 저처럼 고민 중인 물건이 있나요?
P0 	: 저는 최근에 가을 옷을 사려고
P0 	: 보고있얻욛
P0 	: 옷을 여러벌 사려다보니까
P0 	: 더 고민이 깊어요
P1 	: 가을 옷 좋지요
P1 	: 가을겨울 패션이 볼 게 많아서 좋아요
P0 	: 저돋 가디건 하나 넣어놓고
P0 	: 두달째 고민중입니다
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 무지막지 신중하시네요
P0 	: 무려이번에 세일해서 4만원짜리
P0 	: 2만5천원ㄷ뇄는데
P1 	: 와 세일 많이 하네요
P0 	: 그래도 계속 고민중입니다
P1 	: 어째서죠 지금이 기회 아닌가요
P0 	: 사실 살려는 마음이
P0 	: 좀 식었어요
P1 	: 아 정말요?
P1 	: 취향이 바뀌셨나요?
P0 	: 네 그사이에 저랑 안어울릴것 같은
P0 	: 느낌이 들어서요
P1 	: 오.. 그러셨구나
P1 	: 원래 이건 사야해! 하는 옷도
P1 	: 나중에 왜 샀지 하는 생각이 들 수 있다는데
P1 	: 안 사고싶은 이유가 생길 정도면
P0 	: 그래서 계속 갖고싶은게 아니면
P1 	: 안 사는 게 현명한 선택일 것 같아요
P0 	: 사지않으려구요
P1 	: 좋은 결정이세요
P1 	: 돈 아껴서 정말
P1 	: 이것은 나의 피부이니라 싶은 옷이
P1 	: 나타난다면
P1 	: 거기에 지르시는 것도ㅋㅋㅋ괜찮겠어요
P1 	: 저는 바지 허리가 커서
P1 	: 벨트를 살까 하는데
P0 	: 그렇잖아도 정작 갖고싶은 옷은
P0 	: 품절이라
P1 	: 생각보더 비싸가지구 원
P0 	: 맘이 아프네요
P1 	: ㅋㅋㅋㅋ아 맞아요
P0 	: 어떤벨트인가요
P1 	: 꼭 내가 찾으면 품절임
P1 	: 아이고 렉걸려서 채팅이 늦게 가네요 양해해주세요
P1 	: 웨빙벨트라고
P1 	: 가죽이 아니라 끈을 꼬아서 만든 벨트가 있는데
P1 	: 유니클로에서 이번에 좀 짜임이 촘촘한 스웨이드웨빙벨트를
P1 	: 베이직한 디자인으로 내놨어요
P0 	: 벨트이야기 계속 해주세용
