# FILE DATA
ID : MDRW2100037969
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210901
topic : 가사 및 가족

# SPEAKER_INFO
id : 1
age : 30대
occupation : 기타
sex : 여성
birthplace : 부산
principal_residence : 대구
current_residence : 대구
device : 스마트폰
keyboard : 나랏글

id : 2
age : 30대
occupation : 기타
sex : 여성
birthplace : 경북
principal_residence : 대구
current_residence : 대구
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  가족>부부
intimacy  :  4
contact_frequency  :  (거의) 매일 연락한다.

P1 	: 응응 늦었넹
P0 	: 어 요새 일이 많다더라고
P0 	: 우리 신랑은 지금 원 때문에 걱정이 많다
P0 	: 캠핑은 취소했으
P1 	: 응응
P1 	: 왜ㅜㅜ수랑 ?
P1 	: 그렇게해서?
P0 	: 어 수랑 가는 캠핑 취소했다
P0 	: 이번에는 안 가기로 했어
P1 	: 응 잘했다잉
P1 	: 이번에는 패스하고
P1 	: 담에 괜찮아지면 가면되징
P0 	: 근데 오늘 우리 원이 와서 얘기하는데
	  수한테 수한테 캠핑을 가자고 했다는 거야
P0 	: 근데 수가 캠핑하기 싫다고 했대
P0 	: 그래서 원이 캠핑 같이 가자고 계속 얘기하니까
P0 	: 무한에 계단에서 있는 무슨 캐릭터 쿠폰을 달라고 했다 돼
P0 	: 그거 주면은 같이 간다고
P0 	: 그래서  원이 그 쿠폰 주기로 하고 같이 캠핑을 가기로 했다는 거야
P0 	: 근데 계속 이러면 원이 좀 끌려 다닐 거 같아 가지고
P0 	: 그냥 안 가는 게 낫다고 얘기했음
P1 	: 아 그랬구나
P0 	: 우리 신랑도 이제 소 아빠하고 전화하면서
P1 	: 아구 ㅜ또 그런일이ㄷㄷ
P1 	: 응응
P0 	: 더이상 애들 문제에 개입하지 말자고
P1 	: 맞어맞어
P0 	: 애들끼리 싸우고 지지고 볶게 놔두자고
P0 	: 얘기했다 더라고
P0 	: 나도 그게 나을 거 같아서
P1 	: 맞다 개입하면안된다ㅜㅜ
P0 	: 이제 원한테 자세히 안 물어보려고
P1 	: 개입하게되면 어른들만 진짜 어색해진다니깐ㅜ
P1 	: 어른들이 서로 친하니깐 더한것같아ㅜ
