# FILE DATA
ID : MDRW2100045380
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210908
topic : 콘텐츠>게임 콘텐츠

# SPEAKER_INFO
id : 1
age : 20대
occupation : 학생
sex : 여성
birthplace : 충북
principal_residence : 충북
current_residence : 충북
device : PC(데스크탑/노트북)
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 기타
sex : 여성
birthplace : 서울
principal_residence : 해외/기타
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 저도 라떼랑 독깅이 좋아해욬ㅋㅋㅋㅋ
P1 	: 라떼는 말이야~ㅋㅋㅋㅋ
P1 	: 라떼는 마리아가 이름일 줄은 몰랐죠...
P0 	: 오 완전 ?! 취향 비슷하네욬ㅋㅋ
P0 	: 독깅이 버섯머겅.. 진짜 넘귀염워요ㅠㅠ
P1 	: 맞아요ㅠㅠㅠㅠ 버섯머겅~~~ 너무 귀여워요ㅠㅠㅠ
P0 	: ㅋㅋㅋ진짜 쿠키들은 너무 예쁘죠!!
P1 	: 맞아요ㅠㅠㅠ 쿠키들 진짜 너무 귀엽고 이뻐서 쿠킹덤을 못끊겠어요ㅠㅠ
P0 	: 뭔가 그 슈크림?? 그친구도 저 뽑고싶었는데
P0 	: 못뽑아서 좌절했었어요ㅎㅎ
P1 	: 슈크림 너무 안나오죠ㅠㅠㅠ
P1 	: 길뽑에서만 주는데 너무 안나와서 별달아주기도 힘들고ㅠㅠ
P0 	: 포기 했었어요 ㅋㅋㅋ ㅠㅠ 슈크림 갖고 싶었는데
P1 	: 저 화나는겤ㅋㅋㅋ
P1 	: 초반에 슈크림 안나와서 왜 안나와ㅠㅠ 이러고 있는데
P1 	: 어떤 길드사람이  또나왔네요;; 이미 있는데;;
P1 	: 이러는거에옄ㅋㅋㅋㅋ
P1 	: 와... 저런 눈새가 있나? 싶더라구욬ㅋㅋㅋㅋ
P0 	: 와우..? 진짜 ㅎㅎ 정말 별로네여
P0 	: 일부러 그러는거 같은데여.. 슈크림 잘 안나오는거 뻔히 알텐데
P0 	: 겜 한두번 하는거면 몰라듀...말이죠
P1 	: 그러니까욬ㅋㅋㅋ 거기에 슈크림 나온지 얼마 되도 않았는데...... 후....
P0 	: 오우 초반기에여?
P0 	: 진짜별로 이신분ㅠ겜에서 만나면 싫은 타입이에여ㅋㅋㅋ
P1 	: 넼ㅋㅋㅋㅋ
P1 	: 그래도 길드장님이 자주자주 정리하셔서 그사람도 같이 정리 됐어욬ㅋㅋㅋㅋ
P0 	: 쿠킹덤에서 그 성올리는것두 되게 힘들잖아여
P0 	: 사실 여기서 혼자겜하면 절대안되겠다싶엇어요
P0 	: 구글에 쿠킹덤 공략 안찾아봤으면 정말ㅠ
