# FILE DATA
ID : MDRW2100029201
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210903
topic : 쇼핑과 상품

# SPEAKER_INFO
id : 1
age : 30대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 부산
principal_residence : 부산
current_residence : 부산
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 학생
sex : 여성
birthplace : 경남
principal_residence : 경남
current_residence : 경남
device : 스마트폰
keyboard : 나랏글

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 최근에 무엇을 쇼핑하셨나요?
P1 	: 아버지 생신선물을 사드렸어요
P1 	: 9월4일이 생신이시거든요.
P0 	: 오오 뭐 사드렸어요?
P0 	: 축하드립니다!
P1 	: 골프 좋아하셔서 필드 나가실때나 평소에도 입을 수있는 자켓을 사드렸어요
P1 	: 아직 보여주진 않았지만..
P0 	: 너무 좋아하셨겠어요!
P0 	: 생신선물 살 때 고민이 많은데
P0 	: 좋은 선택이신 것 같아요
P0 	: 저는 곧 어머니 생신이 다가와요
P0 	: 무얼 사드려야할지..
P1 	: 비타민이나 영양제 어때요?
P0 	: 오 좋은 것 같아요
P0 	: 건강에 관심이 많으시거든요
P1 	: 건강에 관심 많으시면 영양제도 괜찮은것 같아요
P0 	: 추천해주실만한 게 있나요?
P1 	: 저희 어머니는 자주 걸어다니는 일을 하셔서 무릎 관절에 좋은걸 선물했어요.
P0 	: 무릎 관절이라.. 비타민 d나 칼슘이 좋을 것 같네요!!
P1 	: 맞아요ㅋㅋ 칼슘 선물했어요
P1 	: 사실 스킨로션 세트를 선물할까 했는데 어머니 나이대 자주 사용하시는 화장품 브랜드는 생각보다 비싸더라고요.
P0 	: 맞아요 십만원 훌쩍 넘고..
P0 	: 영양제는 그래도 3개월분씩 팔더라구요
P1 	: 저는 화장을 자주하는 편은 아니지만 쿠션이면 쿠션 립스틱이면 립스틱 각각 사서 한번에 10만원은 못넘긴것 같은데
P1 	: 색조 화장품 보다 기초케어가 더 비싼거 같아요..
P0 	: 어머니들은 무조건 설화수인가요?
P0 	: 근데 저도 기초에 더 신경쓰긴 해요ㅋㅋ
P0 	: 꾸미는 걸 잘 못해서ㅎㅎ
P1 	: 저도 꾸미는걸 잘못해요 ㅋㅋ
P0 	: 마스크가 있어서 얼마나 좋은지ㅋㅋ
P0 	: 코로나는 너무 싫지만..
P1 	: 사실 좋아하는 아이돌들이 최근 맥이랑 에스티로더 모델이 되었는데 전 화장을 안해서 사야될까 망설여지더라고요...
P1 	: 결국 안샀어요..
P0 	: 고급진 이미지인가봐요
P1 	: 그런가요... 어쩌다 보니...
P0 	: 누군지 말해줄 수 있어요? 너무 궁금...
P1 	: SF9아시나요?
P1 	: 막유명하지 않아서 ㅠ
P0 	: 너무나 유명한데요...
P0 	: 저는 태양씨한테 조금 관심이 있어요...
P1 	: 저도 태양이 최애에요..
P0 	: 에스티로더랑 맥이라니...
P1 	: 악 안유명한줄 알았는데 맥 모델이 태양이랍니다.
P0 	: 몰랐어요
P1 	: 에스티로더가 로운,맥이 태양 휘영인데... 결국 안샀어요. 쓰던게 있어서
P0 	: 질렀어때
P0 	: 젤 눈에 띄더라구요
P0 	: 근데 무브에서
P0 	: 가끔 찾아봐요..
P0 	: 맥을 사야겠어요
P1 	: 킹덤 나가길 잘했나봐요...
P1 	: 오...
P0 	: 완전요
P1 	: 저 대신 사주시는건가요ㅋㅋ
P0 	: 이따가 한번 볼게요ㅋㅋ
P1 	: 하여튼 거지가 되지 않는 선에서 아이돌 상품도 열심히 소비하고 있답니다..
