# FILE DATA
ID : MDRW2100043329
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210907
topic : 가사 및 가족

# SPEAKER_INFO
id : 1
age : 30대
occupation : 기타
sex : 여성
birthplace : 부산
principal_residence : 대구
current_residence : 대구
device : 스마트폰
keyboard : 나랏글

id : 2
age : 30대
occupation : 가정 주부
sex : 여성
birthplace : 대구
principal_residence : 대구
current_residence : 대구
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  지역>현 거주지 지인
intimacy  :  3
contact_frequency  :  주 1회 미만

P0 	: 밥을 못 먹으면 되나
P0 	: 다 먹고 살자고 하는 건데
P0 	: 배고픔에 짜증나잖아
P0 	: 배고픈 거 제일 싫다
P1 	: 배고픈 지도 몰랐어요 언니ㅋㅋㅋ
P1 	: 이기세를 몰아서 안 먹어야 되는데
P0 	: 어 대단한데
P0 	: 얼마나 바빴으면
P1 	: 지금 식욕 폭발
P0 	: 지금 안 먹으면
P0 	: 더 폭식할 수 있다
P1 	: 바빠도 안 바빠도 돈은 똑같은데
P0 	: 빨리 먹어라
P1 	: 안  바빴음 좋겠네요ㅋㅋㅋㅋㅋㅋ
P0 	: 그러니까
P0 	: 커피 마시고 수다 떨 때가 좋았는데
P0 	: 요새 너무 바쁘네
P0 	: 계절 바뀔 때마다
P1 	: 그러니까요 언니ㅠ
P1 	: 예전으로 돌려줘요ㅋㅋㅋㅋ
P1 	: 지금 재난 지원금 때문에
P0 	: 힘드네
P1 	: 더 바빠요
P0 	: 아 재난 지원금
P1 	: 이거 동네에서만 쓸 수 있잖아요
P0 	: 안 그래도 사람들
P0 	: 뭐 사냐고 막 묻대
P0 	: 아 그거 동네에서만 쓸 수 있니??
P0 	: 달성에서만??
P1 	: 대형 마트는 안 되니까
P1 	: 아니요 대구 대구
