# FILE DATA
ID : MDRW2100042693
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210907
topic : 공연 및 관람>공연/전시회 및 관람

# SPEAKER_INFO
id : 1
age : 30대
occupation : 사무 종사자
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 나랏글

id : 2
age : 30대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  학교/학원>동기/동창/동급생
intimacy  :  4
contact_frequency  :  (거의) 매일 연락한다.

P0 	: 그러고보니 데식도
P1 	: 콘서트 한번을 제대로 안해주고
P1 	: 팬클럽 기수 끝내려 했으면
P0 	: 온콘온팬 이오데로만했었지
P1 	: 그게 양심없는거였네..
P1 	: 네네
P0 	: 생각해보면 데식도 적은편이긴한데
P0 	: 방탄이벌써 두번인가 세번하지않았나
P1 	: ㅋㅋㅋㅋㅋㅋ 많진 않긴 했지... 완전체로는 19년말 후로 한번도 없었고
P0 	: ㅇㅇㅇ
P0 	: 적은편이었고
P1 	: 이오데로 온팬 한번 온콘 한번.. 앨범은 두번
P0 	: 시보나와도 활동엄ㅎㅅ는 신보였고
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ스제야.. 어휴
P0 	: 이오데만좀하고
P1 	: 완전체로는 패션브랜드 모델로 한번 화보 찍은거 한번...?
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋ 애들은 계속바빴지만
P0 	: 마자 그
P0 	: 갑작스런완전쳌ㄱㅋㄱㅋ
P0 	: 그래도 특히나
P1 	: 콘서트를 1년에 20번씩 하던 팀한테
P0 	: 데식은 콘위주다보니
P1 	: 코로나는 잔인하지..
P0 	: 콘이 적어진거
P0 	: 너무체감되고..
P1 	: 그나마 네이버나우나 디제이나 유튜브 뮤지컬 뭐 그런걸로 연명은 했지만
P1 	: 밴드가 공연을 못한다니
P1 	: 오늘도 외칩니다 중국 망해라
P0 	: 중국놈들
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋ요새 해외팬없어서 몹시클린할텐데
P0 	: 콘가고싶어
P0 	: 그러고보니 오늘 스누조 뭔가 신났는지
P0 	: 지크슈 넘버 두개나부르던데
