# FILE DATA
ID : MDRW2100037263
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210831
topic : 식음료

# SPEAKER_INFO
id : 1
age : 30대
occupation : 사무 종사자
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 천지인

id : 2
age : 30대
occupation : 판매/영업 종사자
sex : 여성
birthplace : 부산
principal_residence : 부산
current_residence : 부산
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 맛집다니는거 좋아하시나요?
P0 	: 네 좋아해요ㅎ 부지런히 다니진 못해도
P0 	: 님은요?
P1 	: 여행가면 맛집부터 찾고 지역은 찾는 정도요?ㅋㅋㅋ
P1 	: 대기시간 길면 못가구요ㅜㅜ
P0 	: 저랑 같네요ㅎ 맛집 위주로 코스 짜고
P0 	: 관광은 거들뿐ㅎ
P0 	: 근데정말 기다리는건 오래 못하겠어요ㅜ
P1 	: 그쵸?
P1 	: 세상에는 그곳 보다 더 맛있는 곳이 더 많으니ㅋㅋ
P1 	: 기다리는건 최대 30분이 한계인것 같아요
P0 	: 그래도 연돈은 좀 궁금하긴 해요ㅎ
P1 	: 어우 거긴 향후 십년안에는 먹어볼 수 있을까요?ㅋㅋㅋ
P0 	: 전..근처카페서 대기탈수 있다는 전제하에 한시간ㅎ
P0 	: 줄이ㅇ갈수록 늘어서
P0 	: 이번생은 글렀어요ㅜ
P0 	: 심지어 제주라 기다리는 시간이 넘 아까워서ㅜ
P0 	: 서울 있을때 갈걸 그랬어요
P1 	: 글쵸?
	  제주는 기다리는 시간에 여행이 우선이라ㅋㅋ
P1 	: 거긴 대대로 물려받아서 장수했으면 좋겠어요ㅎㅎ
P0 	: 제주에선 어디어디 가보셨어요?
P0 	: 추천맛집 있나요ㅎ
P1 	: 전 제주도는 실패했었어요ㅠㅠ
P1 	: 아침에 먹은 순두부찌개가 가장맛났었네요ㅜㅜ
P0 	: 아ㅜㅇㅜ아이고 어쩌다;;
P0 	: 뭘 드셨는데요ㅜㅜㅜ
P1 	: 갈치조림이랑 시장에서 딱새우회사서 먹었는데
P1 	: 딱히...맛이 없더라구요ㅜㅜ
P0 	: ㅜㅇㅜ
P0 	: 저 배라 민초는 진짜 첫입에 반했는데
P0 	: 민초음료는 아직까지 맛있다고 느낀게 없어요ㅜ
