# FILE DATA
ID : MDRW2100003024
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210820
topic : 일과 직업

# SPEAKER_INFO
id : 1
age : 30대
occupation : 기술직 종사자
sex : 남성
birthplace : 충북
principal_residence : 충북
current_residence : 울산
device : 스마트폰
keyboard : 천지인

id : 2
age : 20대
occupation : 전문가 및 관련 종사자
sex : 여성
birthplace : 충남
principal_residence : 대전
current_residence : 충북
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  가족>부부
intimacy  :  5
contact_frequency  :  주 3회 이상

P1 	: 승진제도가 어떻게되요? 몇년이상 이런거 채우면되요? 승진시험봐야되요?
P0 	: 우리는 승진시험 봐야해요
P0 	: 일은 안힘들어요?
P0 	: 애기는 어떻게해요?
P1 	: 일은 하던거라 안힘들어요
	  애기는 24일까지는 어린이집갔다가 4시에 구읍으로하원! 25일부터는 5시반쯤에 제가 데릴러가요
P1 	: 탄력근무라서 5시퇴근도 가능해요
P1 	: 빨리가면 10분에도 도착할 수 있어요
P0 	: 다섯시까지 어린이집에 있는거구나
P1 	: 네 큰 아이들 반에서 같이 있어요
P1 	: &name3&이 같은반 0세반 다른애들은 4시면 가요
P1 	: 회사 규모크죠? 보통 한 팀에 몇명씩이예요?
P1 	: 한 팀마다 팀장이 있어요?
P0 	: 한팀에 25명 정도 있고
P0 	: 팀마다 팀장있죠
P1 	: 오~~~ 엄청 많네요 저희팀은 11명이예요
P1 	: 팀장닝 어떠신가요
P1 	: 오빠가 우리팀장님 별로라는데 저는좋은거같아요
P0 	: 팀장님이 최근에 바뀌었는더 아직 잘 모르겠어요
P0 	: 애기 괜찮아 졌어요?
P1 	: 네 완전!! 병원바꾸면 병원마다 쓰는 약이달라요 하루만에 콧물안나왔어요
P1 	: 그래도 애기들은 항생제 3~10일까지 먹어야되서 준 약은 다 먹었어요
P0 	: &name3&이 이제 다섯시 하원이에요?
P1 	: 내일부터예요
P1 	: 등원은 아빠가 하원은엄마가
P0 	: 그렇구나
P0 	: &name4&이는 6시 퇴근인가요?
P1 	: 계약은 9~6시인데 맨날 늦게와요ㅋㅋ
P0 	: 연장근무 수당 안나와요?
P0 	: 본인이 하는 일에 대하여 설명해주세요
