# FILE DATA
ID : MDRW2100034671
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210828
topic : 일과 직업

# SPEAKER_INFO
id : 1
age : 30대
occupation : 서비스 종사자
sex : 여성
birthplace : 경남
principal_residence : 경남
current_residence : 경남
device : 스마트폰
keyboard : 천지인

id : 2
age : 30대
occupation : 전문가 및 관련 종사자
sex : 여성
birthplace : 인천
principal_residence : 서울
current_residence : 인천
device : PC(데스크탑/노트북)
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 그러다보면 제 마음도 덜 다치는 효과가 있습니다
P1 	: 직장내 사람들에게 무관심 무기대할때의 부차적인 이득
P0 	: 그죠그죠 그맘은 저도 동의합니다
P0 	: 기대가 없으니 이상한짓해도 어 저런 사람이군 하고 넘어가요
P1 	: 맞아요
P1 	: 약간 출근하면서 마음의 셔터를 살짝 내렸다가
P1 	: 퇴근하면서 다시 올리는 느낌이에요 ㅋㅋ
P0 	: ㅋㅋㅋㅋㄱ저는 사람들 좋아해서 첨에 대화 많이했다가
P0 	: 지금은 입닫고 살려고 노력해요
P0 	: 입을 다물라는 내용을 각인한 악세사리 하고다녀요
P1 	: 아니 누가 &name1&님의 마음을 닫아버린거죠
P1 	: 아니
P1 	: 라틴어로 각인하셨나유
P0 	: 스톤이요..?
P1 	: 하.. 스톤..
P0 	: 아뇨 영어 필기체로요
P0 	: 작게해서 잘 안보입니다ㅋㅋ
P0 	: 근데 그걸했다는걸 저만 알면 되니까요
P1 	: 왠지 그런 각인은 라틴어가 폼이 난다는 선입견이 있습죠
P1 	: ㅋㅋㅋ
P1 	: 맞아요 반지 안쪽이나 목걸이나.. 그런곳에 스윽
P0 	: 라틴어 멋진데요
P0 	: 각인 하나 더 팔까요
P0 	: 목적은 슬퍼도 본새는 소중하니까..
P1 	: 다음에 뭔가 가죽 다이어리 이런거 하시면
P1 	: 그때 라틴어로 하나 하시쥬
P1 	: 스톤이 어머 이게 뭐야 하시면 한번..등에 칼맞기 싫으면 입다물고 살란 의미에오
P1 	: 호호호
P0 	: 오호호호
P0 	: ㅋㅋㅋㄱㄱ진짜 한번 가죽하나 마련해야겠어요
P1 	: ㅋㅋㅋㅋㅋㅋㅋ 가죽각인 멋지더라구요
P0 	: 그 금박각인..
P1 	: 요샌 개인공방들도 많아서 막 온갖 종류의 각인이
P1 	: 차키도 멋지더라구요 전 차가 없지만..
P0 	: 오 한번알아봐야겠어요ㅋㅋ
P0 	: 대학이시면 젊은이들을 많이 보시겠군요!
