# FILE DATA
ID : MDRW2100005074
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210821
topic : 콘텐츠>게임 콘텐츠

# SPEAKER_INFO
id : 1
age : 20대
occupation : 학생
sex : 남성
birthplace : 대구
principal_residence : 대구
current_residence : 대구
device : 스마트폰
keyboard : 천지인

id : 2
age : 20대
occupation : 학생
sex : 여성
birthplace : 대구
principal_residence : 서울
current_residence : 충남
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 무슨 게임 하세요
P1 	: 안녕하세요~
P1 	: 저는 가벼운 게임 많이 해요
P1 	: 스도쿠?같은..ㅋㅋㅋ
P0 	: 약간 클래식 한거 하시네요
	  사천성 같은것도 하시나요
P1 	: 헉 ㅎㅎ 너무 클래식한 티가 났나요...
P1 	: 사천성은 안 하지만.. 지뢰찾기는 종종 하네요 ㅎㅎ
P0 	: 약간  동년배답지 않네요
	  남들 마카롱먹을때
	  혼자 롯데샌드먹는 느낌
P0 	: 쿠키런 같은것도 안해보셨나요
P1 	: 아 ㅋㅋㅋㅋㅋㅋㅋ롯데샌드라니..ㅜㅜ
P1 	: 쿠키런 해봤어요 ㅋㅋ
P1 	: 그런데 요즘 게임은 좀 어렵더라고요
P1 	: 혹시 무슨 게임 하세요?
P0 	: 카이로 소프트에서 만든 게임해요
	  혹시  알고 있으시나
P1 	: 아이구 처음 들어보는데
P1 	: 혹시 간단하게 설명해주실 수 있으세요?!
P1 	: 재밌어보이면 저도 하고 싶어서리..ㅎㅎ
P0 	: 아기자기한 시뮬레이션 모바일 게임입니다
P0 	: 타이쿤 게임 같은거 아세요?
P1 	: 아기자기하다고 하시니 더 궁금하네요 ㅎㅎ
P1 	: 심시티..?
P1 	: 는 해봤어요 ㅎㅎ
P0 	: 심시티면 심즈  해보셨어요?
P1 	: 네 심즈도 해봤어요~!!
P0 	: 아니 어쩌다 심즈하시다가
	  스도쿠로  넘어가신거죠
P0 	: 스도쿠가 되게 재밌나보네요
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ아뇨ㅠ 심즈가 너무 어려워서..ㅜㅜ
P1 	: 그리고 잠깐잠깐 시간날 때 하는 거라
P1 	: 스도쿠 한 판이 딱 좋더라고요
