# FILE DATA
ID : MDRW2100017595
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210826
topic : 여행

# SPEAKER_INFO
id : 1
age : 20대
occupation : 사무 종사자
sex : 여성
birthplace : 인천
principal_residence : 인천
current_residence : 인천
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 광주
principal_residence : 광주
current_residence : 광주
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 여행하고싶은데 있어?
P1 	: 나 일본정도?
P1 	: 내가 그렇게 막 아웃도어파는
P0 	: 일본? 오사카?
P1 	: 아니잖아
P0 	: 유니버셜 스튜디오 좋더라
P1 	: 오 맞아
P1 	: 아 잠만
P1 	: 간만에 아빠가 기분 좋다고
P1 	: 치킨시켜준대서
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 유니버셜 스튜디오는 많이 들어봤어
P0 	: ㅇㅇ 체험공간 잘되어있어서 좋아
P1 	: 거기에 만화고기 판다고
P0 	: 아 ㅋㅋㅋㅋ 그렇긴 한데
P0 	: 가성비 구려....
P1 	: 아 그래??
P1 	: 시켜봤어???
P0 	: 아니 그건 아닌데
P0 	: 안시킨데는 이유가 잇겠지 ...
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 아닠
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ사실 그런 명소도 있지만
P1 	: 현지 오타쿠거리를
P1 	: 가보고싶긴 해
P1 	: ㄹㅇ오타쿠스러울까 궁금해서
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 그 비슷한거
P0 	: 가봤는데
P1 	: 오
P1 	: 아 맞아 그 새연키링
P0 	: ㅇㅇ
P1 	: 언니가 사온거였지
P0 	: 거기 숙소랑 가까웠어서
P0 	: 근데 내가 일본어를 몰라서 그런지
P0 	: 그냥 만화방같은 느낌...?
P1 	: ㅇㅎ
P1 	: ㅇㅏ 뭔말해야대지
P1 	: 난...난 호캉스가 제일
P1 	: 하고싶은사람인데
P1 	: 그것도 여행계획이긴 한데
P1 	: 작정하고 말하려니까 할말이 업네
P0 	: 호캉스 좋아
P1 	: 맞아
P0 	: 이번에 서울에 있는 호텔 호캉스 갔다왔눈대
P1 	: 오 맞아
P0 	: 이래서 돈을 버는구나 싶었움
P1 	: 그 회사가 정해준
P1 	: 그 휴가?
P1 	: 일반 숙소들이랑 차이 많이 나?
P0 	: ㅇㅇ 회사가 점지해준 휴가
P0 	: 서울에 있는 파크하얏트 라는 호텔이엇음
P0 	: 코엑스 맞은편에 있고
P0 	: 내가 묵은 방은 시티뷰 10층이엇는데
P1 	: ㅇㅇ
P0 	: 침대가 일단 엄청 컷음
P0 	: 그런 방이긴 했지만 ㅋㅋㅋㅋㅋ
P0 	: 그 침대에 누워서
P0 	: 차가 막히는 강남 거리를 보고잇으면
P0 	: 기뷴이 되게 묘하고...
P0 	: 이래서 사람들이 호캉스를 가는구나 싶었음 ㅋㅋㅋ
P1 	: 오오
P1 	: 아 그
P1 	: 유사 이택언 체험?
P0 	: ㅇㅇㅇ
P0 	: 나중에 사진 보여줄게
P1 	: ㅇㅇㅋㅋㄱㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 뭔가 내부적으로 더 좋은건 없엇어?
P1 	: 진짜 다 자리+경치값이야?
P0 	: 아
P0 	: 내부도
P0 	: 일단 볕이 잘들고
P0 	: 한쪽이 통유리고
P0 	: 엄청 깨끗해
P1 	: ㅇㅎ
P0 	: 글고 욕조가 크고
P1 	: 오
P1 	: 그건 좀 좋다
