# FILE DATA
ID : MDRW2100046141
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210908
topic : 식음료

# SPEAKER_INFO
id : 1
age : 20대
occupation : 서비스 종사자
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 30대
occupation : 기타
sex : 여성
birthplace : 부산
principal_residence : 대구
current_residence : 대구
device : 스마트폰
keyboard : 나랏글

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 드실때 몇조각까지 드세요
P1 	: 이번 주에 캠핑을 가는데
P1 	: 저는 두 조각 먹어요
P1 	: 많이 드시나요??
P0 	: 오 캠핑!!
P0 	: 저도 피자 두조각 먹어요 ㅠㅠ
P0 	: 고기 드실건가요??
P1 	: ㅎㅎㅎㅎㅎㅎㅇ 비슷하시네요
P1 	: 고기도 굽고
P1 	: 새우도 사 가려구요
P1 	: 지금 새우가 크고 맛있어서
P0 	: 우아 너무 좋을거같아요 ㅋㅋㅋ
P0 	: 오 새우 철인가요
P1 	: 캠핑갈때 필수예요 ㅎㅎ
P1 	: 네 새우가 7월말부터 나오던데
P1 	: 그때는 비싸고 크기도 작은데
P1 	: 지금이 제일 크고 가격도 싸서
P0 	: 우아
P1 	: 캠핑갈때 꼭 사가고 있어요
P0 	: 오오 새우 ㅋㅋㅋㅋ
P0 	: 구우면 너무 맛이ㅛ어요
P1 	: 네 ㅎㅎㅎㅎ 진짜 너무 맛있죠
P0 	: 캠핑 가면 맛있는거 많이 먹겟어용
P1 	: 네 늘 비슷하게 사가는데
P0 	: 네네
P1 	: 가서 먹으면 또 늘 맛있는거같아요 ㅎㅎ
P1 	: 제가 요리를 못해서
P1 	: 매일 먹던것만 먹어서 ㅎㅎ
P0 	: 맞아요!!! 오 그럼 신랑분이 하시나용
P1 	: 요리는 거의 신랑이 하는 편이에요
P1 	: 캠핑 가서는 다 신랑이 하구요
