# FILE DATA
ID : MDRW2100024034
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210830
topic : 식음료

# SPEAKER_INFO
id : 1
age : 20대
occupation : 사무 종사자
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 학생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 저 좋아 합니다 ㅋㅋㅋ
P1 	: 잘먹지는 못하고 ㅋㅋㅋ
P0 	: 어엇?ㅎㅎ 좋아하시는데 잘 드시지는 못한다니 슬퍼요ㅠㅠ
P1 	: ㅜㅜㅜ맞아요
P1 	: 많이 못먹는게 너무 아쉽네요
P0 	: 저는 와인 한병은 마시는것같아요
P1 	: 한 병 먹으면 혓바닥이 빨갛게 될것같아요ㅋ
P1 	: 레드와인 좋아하세요?
P0 	: 으허허 표현이 귀여우세요ㅋㅋㅋㅋ
P0 	: 네네 좋아해요~!
P0 	: 스파클링도 좋아하구용
P1 	: 오오 다양하게 드시는걸 보니
P1 	: 잘드시나봐요 ㅎㅎ
P0 	: 한병 넘어가면 네발로 걸어다녀요..하핫....
P1 	: ㅋㅋㅋ저는 와인 너무 쓰더라고요
P0 	: 아아 약간 그렇긴 하죠
P0 	: 근데 쐬주가 더 쓴것같아옄ㅋㅋㅋㅋ
P1 	: 맞아요 그래서 저는 막걸리이런 달달한거 좋아해요
P0 	: 꿀밤 막걸리... 사랑해요...ㅋㅋㅋㅋ
P0 	: 오미자 막걸리도!
P1 	: ㅜㅜㅜ인정
P1 	: 너무 맛있어요
P1 	: 요즘엔 딸기 막걸리도 있던데
P1 	: 맛있더라고요
P0 	: 딸기도 나와요????
P0 	: 저희 동네에 언제한번 전국 막걸리 축제가 열려서
P1 	: 그니까요
P1 	: 오 ㅋㅋㅋㅋ
P0 	: 갔는데 별별 막걸리가 다있어요ㅋㅋㅋㅋ
