# FILE DATA
ID : MDRW2100006371
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210907
topic : 공연 및 관람>스포츠 경기 및 관람

# SPEAKER_INFO
id : 1
age : 30대
occupation : 사무 종사자
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 경기
device : 스마트폰
keyboard : 천지인

id : 2
age : 30대
occupation : 사무 종사자
sex : 남성
birthplace : 인천
principal_residence : 인천
current_residence : 인천
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 두산은 또 잘할거에요
P1 	: 희망이 아예 없는팀도 많자나요 ㅋㅋㅋ
P0 	: 그러길 바라고 있어요ㅎㅎ 선수 풀이 안 좋아지긴 했는데..
P0 	: 한화는 그래도 방향성 명확하게 리빌딩 시도 중인 것 같더라구요
P1 	: 두산은 신인 잘키우니까
P1 	: 그리고 함덕주주고 데려온 양석환 잘하자나요
P1 	: ㅋㅋㅋ
P0 	: 양석환마저 없었으면 큰일날 뻔 했어요 ㅋㅋ
P1 	: 트레이드 잘했죠
P1 	: 최정이 있어서 부럽지 않지먀
P1 	: 만
P1 	: 투수가 망 ㅜㅜ
P0 	: 최정은 진짜 대단하죠ㅋㅋ
P0 	: 잘한 6년 계약.. 정수빈 생각나네요ㅎㅎ
P1 	: 최정마저 없었다면....
P1 	: 끔찍
P1 	: 힐만감독때가 좋았는디
P0 	: 김원형 감독에 대해서는 어떻게 생각하세요?
P1 	: 전 아직 중립인데
P1 	: 워낙 부상이 많은 시즌이라
P1 	: 내년에도 이러면
P1 	: 저는 좀 별로...
P0 	: 하긴 올해는 부상이 너무 많아서 투수 쓰기가 힘들 것 같아요
P1 	: 그쵸
P1 	: 선발두명이 팔꿈치 수술이라니
P0 	: 근데 내년 후반에나 복귀 예정 아닌가요?
P1 	: 맞아요
P1 	: 용병을 잘 뽑아야죠
P1 	: 올해처럼 이러며ㆍ
P1 	: 망하는거죠
P1 	: 용병 둘에 나머지 신인들로 버티면 후반기에 복귀 두명하니까
