# FILE DATA
ID : MDRW2100032862
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210906
topic : 시사(정치, 경제, 사회)>2026년 병장 월급 100만원

# SPEAKER_INFO
id : 1
age : 10대
occupation : 학생
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 10대
occupation : 학생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 와 많이 받네
P0 	: 와 돈 많이 받네
P0 	: 군인이 몇명인데 예산 감당 가능한가
P1 	: 그러네 생각보다 많이 받는다
P1 	: 지금은 얼마더라?
P1 	: 지금은 한 4~60 한다
P1 	: 뭐야 거의 2배 가까이 뛰네? 진짜 예산 감당 가능한가
P0 	: 그니까.........
P0 	: 국방부 예산 당겨오면 어디서 줄이려는거지?? 세금을 더 받는 건가?
P0 	: 여자입장이라 그런가 난 싫다 ㅎ; 지금도 국방비 많이 나가는데
P1 	: 그니까 감당 가능하면 또 모르겠는데.... 아마 다른 것도 복지 예산이라 줄이지는 못하고 세금 더 매기지 않을까
P0 	: 으으으 다른 복지 줄이면 진짜 싫을 거야
P0 	: 사회적 약자도 아닌 군인 월급 챙기겠다고 저소득층이나 임산부 독거노인 가출청소년 이쪽 예산 줄이는 건 좀;
P0 	: 솔직히 말하면 남자들 군대 생색은 있는대로 내는데 걔네 월급 내 세금으로 나간다니까 배알 꼴리는 것도 있음
P1 	: 어우 그건 좀 아닌 것 같다... 그런데 복지예산 줄여서 다른 데 떼준다고 하면 사회적 약자인 사람들 쪽 예산 떼서 붙여줄 것 같아서 더 불안하다ㅠ
P0 	: 긍까....어디 예산을 줄여.....
P1 	: 오... 나 방금 검색하고 왔는데 2026년도 국방비 예산이 71조 정도 될 거라더라
P0 	: 처우개선을 하든 복부 기간을 줄이든하지 참나
P0 	: 와
P1 	: 어쩐지... 저래서 100만원 한다고 했던 거였네
P0 	: 아주 한국 기둥을 통채로 뽑아먹어라
P0 	: 저게 얼마야 대체;;;;;;;
P0 	: 돈이 썩어나나봐
P1 	: 지금은 52조래 WoW 원래도 국방비 많이 먹는 건 알고 있었는데 새삼 대단하다
P1 	: 저기서 비리만 없애도 남아도는 돈이 수 조 원 아닐까
P0 	: 흠 국방부 비리는 잘 모르겠다
P0 	: 아래사람 갈궈서 윗사람이 먹는 비리가 대부분이라...
P0 	: 어우 돈이 장난인가 1.5배를 늘리네ㅋㅋㅋㅋㅋ
P0 	: 뭘 믿고 올린대
