# FILE DATA
ID : MDRW2100029589
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210903
topic : 날씨와 계절

# SPEAKER_INFO
id : 1
age : 20대
occupation : 학생
sex : 여성
birthplace : 경남
principal_residence : 경남
current_residence : 경남
device : 스마트폰
keyboard : 천지인

id : 2
age : 20대
occupation : 학생
sex : 여성
birthplace : 인천
principal_residence : 인천
current_residence : 인천
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  기타>그 외 사회적 관계
intimacy  :  5
contact_frequency  :  (거의) 매일 연락한다.

P0 	: 날이 추워지는데
P0 	: 추위 많이 타는 인간은 괜찮은지
P1 	: 나 가을 이불로 바꾸고 문 열어두지 않아
P1 	: 매우 춥기 때문이다
P0 	: 문 안 열면 덥지 않아?
P1 	: 오늘이 코트입을 수 있는 최적의 날씨인데
P1 	: 아냐 난 딱좋아
P0 	: 약간 열면 춥고 닫으면 더워서
P0 	: 열어두고 봄가을 이불 덮는중인데
P1 	: 물론 밤에 이불과 함께하다보면 더울때가 있는데
P0 	: 역시 더위인간과 추위인간의 차이
P1 	: 그렇다고 문을 열면 너무 추워서
P1 	: 그냥 일어나서 열기 빼고 다시 누워
P0 	: 긴팔 맨투맨 입었다가 나는 땀이 나더라
P0 	: 역시 부산 내려와서 사는건 어떤지?
P1 	: 부산라인은 아직 더울만도
P1 	: 여긴 넘 춥따...
P0 	: 낮은 뜨겁고
P0 	: 밤은 추워
P0 	: 역시 난 수도권체질인가봐
P1 	: 여기도 얼마전까지는 그랬는데 이젠 춥뜨아...
P1 	: 내가 안나가서 그런걸지도
P0 	: 진짜 추위 많이 탄다
P0 	: 난 이제 일교차 커서 옷을 못 고르겠어
P1 	: 친구는 그래서 반팔에 긴팔 겉옷 챙긴대
P1 	: 나이스 선택인거같아
P0 	: 맞아 겉옷이 그래도 괜찮은 선택인듯
P0 	: 내가 패션용 겉옷을 챙기지만 않는다면...
