# FILE DATA
ID : MDRW2100012142
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210824
topic : 식음료

# SPEAKER_INFO
id : 1
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 경남
principal_residence : 경남
current_residence : 경남
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 30대
occupation : 기타
sex : 여성
birthplace : 서울
principal_residence : 충남
current_residence : 서울
device : 스마트폰
keyboard : 기타

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 피자도 좋아하시나요?
P1 	: 앗! 그러면 혹시 그거 드셔보셨어요?
P1 	: 미친피자요!
P1 	: 피자 좋아해요 어렸을땐 야채가 많아서
P0 	: 미친피자요? 첨들어요!
P1 	: 별로안좋아했는데 지금은 조아해요
P0 	: 브랜드이름이 그거에요?
P1 	: 이게 신생브랜드인거같은데
P1 	: 네!
P1 	: 토핑이 듬뿍올라와있어요!
P0 	: 아하 여기 지방이라 아직 안생겼나봐여
P0 	: 어떤 토핑피자 젤좋아하세요?
P1 	: 저는 쉬림프요!!! 그리고 콘치즈피자도 조아해요
P1 	: 어떤피자 자주 드세요?
P0 	: 저도 새우랑 콘 좋아해요ㅜ
P0 	: 저도 무조건 새우올라간거 시켜요
P0 	: 유로코피자아세요?
P1 	: 새우 최고예요!
P1 	: 아니요 처음들어봤어요!
P0 	: 이게 밑에지방 체인점인가보네요
P0 	: 여기도 토핑듬뿍에 가격저렴하고 맛있거든요 일주일에 한번은 시켜먹어요ㅜ
P1 	: 앜ㅋㅋㅋ 헐 너무좋아요
P0 	: 저옛날에 피자넘좋아해서 미피잘나갈적에..알바도했었어요 ㅋㅋㅋㅋㅋㅋ
P1 	: 토핑 듬뿍주는곳 최고
P1 	: 미피하니까 생각나네요 고구마 크러스트!
P0 	: 하프앤하프엄청먹었었는데 맛있었죠..
P1 	: 안힘드셨어요?
P0 	: 네 엣지 골드
P1 	: 그땐 엄청 바빳을꺼같은데
P0 	: 힘들긴했는데 친구들이랑 같이했어서
P0 	: 재밌게 오래잘했어요 ㅎㅎ
