# FILE DATA
ID : MDRW2100029023
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210902
topic : 식음료

# SPEAKER_INFO
id : 1
age : 30대
occupation : 학생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 대전
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 30대
occupation : 사무 종사자
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 얼그레이는 어떤 브랜드 좋아하세요?
P0 	: 포트넘앤메이슨이용
P0 	: 거기차 조아해용
P1 	: 우와
P1 	: 스모키한 얼그레이 였던가요??
P0 	: 안스모키해용 그냥 클래식해요ㅋㅋㅋㅋ
P1 	: 앗ㅋㅋㅋㅋ잘못알고 있었네요 ㅋㅋㅋㅋ
P1 	: 카운티스 그레이도 좋아하시나요?
P0 	: 오! 네네네
P0 	: 포트넘꺼 다 좋아해용..가향도 다 무난하고 대충오래우려도 안쓴거같고 ㅋㅋ
P1 	: 아 맞아요 ㅋㅋㅋㅋ 몇 번 얻어먹어봤는데 진짜 무난하고 좋더라구요
P1 	: 가장 좋아하는 블렌드는 어떤거였어요?
P0 	: 로즈포총 ? 포트메이슨
P0 	: 조앗던거같아용 ㅋㅋ
P1 	: 아 로즈포총 향 진짜 좋더라구요
P0 	: 그죵... 추천해주실.차 잇으신가요
P1 	: 얼그레이 계열 좋아하시면 혹시 twg 프렌치 얼그레이랑 마리아쥬 얼그레이 프렌치블루 어떠실까요?
P0 	: 오호 마리아쥬~끌리네용
P0 	: 담에차 살때 사바야겟어요
P1 	: 수레국화 좋아하시면 만족스러우실 거 같아요
P1 	: 아 혹시
P1 	: 포트넘 차 중에 살구랑 라벤더 들어간 차 드셔보셨어요??? 애프리콧앤라벤더인가 하는...
P0 	: 오잉 아뇨...못머거밧어용
P0 	: 근데 맛잇을거같아요
P1 	: 저 이거 샀는데
P1 	: 감초가 들어있어서
P1 	: 뜨거운 물 우리니까 한약맛이 나서요
P1 	: 어떻게 먹어야할지 모르겠어요
P0 	: 맛집은 찾아다니시는편은 아닌가용 ? ㅋㅋ
