# FILE DATA
ID : MDRW2100046128
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210908
topic : 미용과 건강

# SPEAKER_INFO
id : 1
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 제주
principal_residence : 충북
current_residence : 충북
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 기타
sex : 여성
birthplace : 서울
principal_residence : 해외/기타
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 맞아요ㅠㅠ 그 다리가 추웠는데 다리의 따스함이라뉴ㅠㅠ
P0 	: 저는 몇 주 뒤에 친구 결혼식 가는데 엌덯게 입어야할지 모르겤ㅅ아요ㅜㅜ
P1 	: 저도 결혼식은 별로 안가봐서 뭐가 좋은지 모루갰네요ㅠㅠ
P1 	: 다들 보면 그냥 -단정-하게가 제일 좋다는데... 단정한것도 어떤 식으로 단정한게 좋을지...
P0 	: 그러니까요 막 흰 옷은 피해라
P0 	: 사진 찍으니 밝은 거 입어라
P0 	: 그래서 어떤게 좋은건데요ㅠㅜ
P1 	: 그러니까욬ㅋㅋㅋㅋㅋㅋㅋ
P1 	: 예시 사진도 주면서 알려줬으면 좋겠어욬ㅋㅋㅋㅋ
P0 	: 그리고 결혼식 옷 태그 아무데나 거는 것 같아서ㅋㅋㅋㅋㅋㅋ 더 모르겠어요
P1 	: 아 맞아욬ㅋㅋㅋㅋ
P1 	: 이거 찾으면 이거 붙어있고 저거 찾으면 저거 붙어있곸ㅋㅋㅋ
P1 	: 그냥 검색되라고 막 붙여둔것 같아욬ㅋㅋ
P0 	: 그니까욬ㅋㅋㅋㅋㅋㅋ아무리 봐도 아닌 것 같은 것도 있고
P1 	: 맞아욬ㅋㅋ 그런건 꼭 생략 된것 같아욬ㅋㅋ
P1 	: 결혼식(에 입고가면 욕먹을)룩 이렇게욬ㅋㅋㅋ
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋ괄홐ㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 좋아하시는 스타일 있으신가요?
P1 	: 저는 코트를 정말 좋아해요ㅠㅠ
P1 	: 코트뿐 아니라 가디건조 좋아하고
P1 	: 길이는 긴거 좋아해요!ㅋㅋㅋㅋ
P1 	: 키작이지먼 정강이까지 오는 길이를 매우 좋아한답니다zzz
P0 	: 아 좋죠
P0 	: 저도 가디건 좋아해요
P1 	: 가디건은 뭔가 푹신하면서 따뜻한 분위기가 도는게 좋은 것 같아요.
P1 	: 겨울에도 입고 싶지만 그랬다간 얼어죽겠죸ㅋㅋㅋ
P0 	: 밖에는 못 입지만 실내에서 자주 입어요 ㅋㅋ
P1 	: 저두욬ㅋㅋㅋ
P1 	: 밖에서 못입는 만큼 집에서 만이라도!!!
