# FILE DATA
ID : MDRW2100038413
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210902
topic : 식음료

# SPEAKER_INFO
id : 1
age : 20대
occupation : 학생
sex : 여성
birthplace : 해외/기타
principal_residence : 대전
current_residence : 대전
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 기술직 종사자
sex : 여성
birthplace : 경남
principal_residence : 경남
current_residence : 경남
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 네 !!!
P1 	: 무난하게 맛있지않나여???!!!
P0 	: 맞아요!!!!!! 호불호 안 갈리는 맛 ㅎ.ㅎ !
P0 	: 아 이 얘기하니까.. 마라탕 너무 먹고 싶네요
P1 	: 저두여 저녁으로 먹으려구요 !
P1 	: ㅎㅎ 치즈떡을 먹어보겠어용
P0 	: 흐억 맛있갰다 ㅠ
P0 	: 전 지금 본가에 있는데.. 본가 주변엔 마라탕집이 없걸랑요
P1 	: 헐 배달두 안돼여???!
P0 	: 네에 -.- !!!
P0 	: 완전 짱나욥
P0 	: 그래서 건강하개만 먹고 있ㅇ요..
P1 	: 헐...완전 다이어트...
P1 	: 왜 본가에 계셔요??!
P0 	: 아 휴학했거든요 ㅎ.ㅎ !!!!!
P0 	: 얼른 복학해서 마라탕 먹을 생각만 하고 있어요
P1 	: 아 마라탕 땜에 복학하셔야겠어요 !!!!
P1 	: ㅋㅋㅋㅋㅋ
P1 	: 학교 근처맛집은 사랑입니다...
P0 	: 그니가요! &name2&님 근처에는 무슨 맛집이 있나요?!
P1 	: 음 저희집 근처에는
P1 	: 돼지국밥이여 !!!
P0 	: 헐!! 맛있겠다!!!!
P0 	: 저 국밥 좋아래요! 특히 콩나물국밥!
P1 	: 오 !!!
P1 	: 국밥 좋아하시는분들 잘 없던데
P1 	: 좋아하시는군요???!!!
P0 	: 네 ㅎ.ㅎ
