# FILE DATA
ID : MDRW2100034990
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210828
topic : 식음료

# SPEAKER_INFO
id : 1
age : 30대
occupation : 판매/영업 종사자
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 단모음

id : 2
age : 30대
occupation : 가정 주부
sex : 여성
birthplace : 인천
principal_residence : 인천
current_residence : 경기
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 다섯살 되고부터 유독 심해진거 같아요
P0 	: 딱 자기 호불호 말할 시기네요
P0 	: 그리고 계란값이 오르고나서 계란 질이 좀 안좋아져서
P0 	: 비린내가 심한 계란이 전보다 좀 자주걸려여 ㅡㅡ
P1 	: 오 그래서 계란거부도 생겼을까요?
P0 	: 그럴 가능성도 있을 것 같아요
P0 	: 감자나 고구마는 먹지 않던가요?
P1 	: 감자랑 고구마는 먹어요 :)
P0 	: 역시 그건 냄새가 안거슬리잖아요
P0 	: 제가 어릴때같군요,,,
P0 	: 혹시 조카가 더 애기땐 밤에 엄청 울지 않았나요?
P1 	: 음....잠은 잘잤었던거 같아요
P0 	: 그럼 맛이나 목구멍 넘어가는 촉감에만 예민한걸수 있겠네요
P0 	: 전 걍 좀 어릴때 감기 많이 걸리고 예민한 타입이고 그래서 ㅋㅋㅋ 엄마가 고생많이 하셨어요 ㅋㅋ
P0 	: 전 애기때 마치 닥터하우스 같았습니다
P1 	: 돌전까지는
	  엄청 통통? 뚱뚱했는데
	  돌 이후부터 매년 한번씩은
	  장염으로 입원하는거 같아요
P0 	: ㅠㅠ 돌 이후면 너무 어릴때부터자나요 ㅋㅋㅋㅋㅋ
P0 	: 그럼 그냥 거의 평생 장이 안조으신것 가튼데요 !ㅋㅋㅋ
P0 	: 장이 안 조 ㅎ으시면 음식 좀 조심해서 드셔야겠네요
P1 	: 잉? 다섯살 조카요 ㅋㅋㅋㅋㅋ
P0 	: 아!! 조카요
P0 	: 그럼 조카 밥 챙겨주기가 좀 까다롭겠네요
P0 	: 몸이 그러면 어쩔수가 없어요 ㅠ 되도록 덜 가릴걸 줄 수 밖에 없게네요
P1 	: 네ㅠㅠ 그러다보니
	  먹을 수 있는게 너무 제한적이에여
