# FILE DATA
ID : MDRW2100033092
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210906
topic : 날씨와 계절

# SPEAKER_INFO
id : 1
age : 20대
occupation : 사무 종사자
sex : 여성
birthplace : 대전
principal_residence : 대전
current_residence : 대전
device : PC(데스크탑/노트북)
keyboard : 2벌식(쿼티)

id : 2
age : 30대
occupation : 사무 종사자
sex : 남성
birthplace : 서울
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 여기도 갑자기 비옴
P1 	: 주말에 쨍쨍이었는데
P0 	: 여기는 어제낮부터 비옴 ㅠㅠ
P0 	: 근데 날씨 진짜많이풀려서 이젠 1도안더움
P1 	: 밤엔 추워요
P1 	: 저 여름 이불 넣.고
P1 	: 극세사 꺼냄ㅋㅋㅋ
P0 	: 극세사 너무갔다
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 추위 잘 버티나봐요?
P1 	: 더운거 vs 추운거
P0 	: 추운게낫죠
P0 	: 입으면되는데
P0 	: 문다닫고 극세사덮고잔다구여?
P1 	: 수족냉증있어서 그런가ㅋㅋ
P1 	: 추운걸 더 못버팀
P0 	: 아 더운건 벗어도 끝나는데
P0 	: 겨울은 핫팩도잇고 버티기 괜찮음
P0 	: ㅋㅋㅋㅋㅋㅋㅋ
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 땀 많아요?
P0 	: 땀은 또 생각보다 별로없음
P0 	: ㅋㅋㅋㅋㅋㅋ
P1 	: ㅋㅋㅋㅋㅋㅋ
P1 	: 땀 많은 사람들이 여름 주글라카던데
P0 	: 저는 손발에 땀없어ㅓㅅ 문제 ㅋㅋㅋㅋ
P0 	: 너무건조함
P1 	: 로션 필수시겠넹
P1 	: 갈라지고 막 그래요??
P0 	: 손진짜건조해서
P0 	: 만지는사람마다 다들놀람ㅋㅋㅋㅋㅋ
P0 	: 원래뭐바르는거안좋아해서
P1 	: 안댐!
P1 	: 젊을때부터 관리해야지
P1 	: 째꼼이라도 바르고 다니세요
P1 	: 휴지에 닦더라도
P0 	: 잘때 바르라던데
P0 	: 그게 쉽지가않음
P0 	: 까먹음ㅋㅋㅋㅋ
P1 	: 잘때가 아니라 자기전에 씻고 아닐까요ㅋㅋㅋㅋ
P1 	: 으 퇴근시간인데
P1 	: 회사 상무님 어머니 돌아가셔서 장례식장 갈듯..
P0 	: 헥
P0 	: 각이네
P0 	: 잘다녀오세오
P1 	: 내일 가자하는듯한 느낌적인 느낌
P0 	: ㅋㅋㅋㅋㅋ옷이 준비가안됏을수도
P0 	: 다른사람들이
P1 	: 요샌 그런거 그닥 신경 안 쓰더라구요
P1 	: 그냥 튀지만 않으면 됨
P1 	: 클럽갈듯한 그런 느낌만 아니면
P1 	: 하늘에 구멍뚫렸나 와 머이리 많이 오지
P0 	: 비진짜미,친듯요 ㅠ
P0 	: 퇴근할때듀ㅣ니까 왕마니옴 ㅠ
P1 	: 여기도ㅋㅋㅋㅋ
