# FILE DATA
ID : MDRW2100041158
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210905
topic : 식음료

# SPEAKER_INFO
id : 1
age : 20대
occupation : 학생
sex : 여성
birthplace : 해외/기타
principal_residence : 대전
current_residence : 대전
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 10대
occupation : 학생
sex : 여성
birthplace : 대전
principal_residence : 대전
current_residence : 대전
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 맞아요 저도 걍 소스그릇에 담가놨다 먹는거 좋아해요ㅋㅋㅋ
P1 	: 대체 뭐가 나쁜말인지 아오... 입공간이 작아서 그런거 먹으면 잇몸이 붓더라구요...ㅠㅠ
P1 	: 찔려서 부어요
P1 	: ㅠㅠㅠ
P0 	: 허억!!! 입이 진짜 작으신가봐요
P0 	: 저도 가끔 탕수육 큰 거 한입에 와악 먹어버리면 이가 아프긴 하더라고요 ㅠ.^
P0 	: &name2&님 만두도 좋아하세요?
P1 	: 그쵸ㅠㅠㅠ 부으면 이틀동안 아파요..
P1 	: 떡만둣국에 있는 만두는 좋아해요!
P1 	: 걍 그냥 그대로 밥반찬으로 먹는건 안좋아해요(?)ㅋㅋㅋㅋㅋ
P1 	: 비빔만두는 환장하고 먹어요!!
P0 	: 헐 저도 비빔만두 완전 좋아해요!!!! 진짜 맛있지 않나요!!!
P0 	: 양념이랑 먹으면 정말 한그릇 뚝딱....
P0 	: 튀김만두는 좋아하세요!? 그 작은 만두!
P1 	: 느끼한걸 양념이 잡아줘서 끝도없이 들어가더라구요ㅋㅋㅋ
P1 	: 그것도 좋아하죠!!
P1 	: 팝콘만두?같은거 좋아해요!
P0 	: 아 저도 팝콘만두 진짜 좋아해요 ㅠ.^
P0 	: 떡복이랑 먹으면 혼자 한봉지 뚝딱 가능하다거욧 ㅜ.!!!
P1 	: 맞아요! 조합이 정말 최고예요 매콤한거랑 진짜 잘어울려요ㅠㅠ
P0 	: 그니까요!
P0 	: &name2&님 음료수도 자주 드시나요!
P0 	: 환타나 알로에같은!
P1 	: 원래 진짜 좋아하는데 당 생각해서 자제하는 중이에요ㅠㅠ
P1 	: 액상과당이 제일 무서워요,,ㅠㅠㅠ
P0 	: 헐.. 저랑 완전 똑같으시네요
P0 	: 저 파워에이드에 빠져서 1일 1통 하다가
P0 	: 요새 자제중이에요...
P1 	: 이온음료도 안전하지 않더라구요... 충격
P1 	: 제로콜라나 제로사이다로 천천히 끊어보려했는데 탄산도 이에 안좋다고해서 걍 암것도 안먹고 있어요ㅜㅜ
P0 	: 아 그니까요!!!!!!!!!!!!!!
P0 	: 솔직히 전 이온음료는 괜찮을 줄 알았거든요
P0 	: 완전 배신당한 기분이었엉
P0 	: 아요
P1 	: 맞아요ㅜㅜㅜ 그래서 그 뒤부터 영양성분표 꼭 봐요ㅠㅠ
P1 	: 얼른 제로이온음료도 나왔으면 좋겠네요,,ㅜㅠㅠ
P0 	: 헐 완전 좋은 생각인데요 제로이온음료라니
P0 	: 그럼 저 맨날 맨날 사먹을듯....
