# FILE DATA
ID : MDRW2100044647
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210907
topic : 콘텐츠>영상/음원 콘텐츠

# SPEAKER_INFO
id : 1
age : 30대
occupation : 사무 종사자
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 나랏글

id : 2
age : 30대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  학교/학원>동기/동창/동급생
intimacy  :  4
contact_frequency  :  (거의) 매일 연락한다.

P0 	: 셉이 중순에 컴백했으니까 이제 우리각섰잖아
P1 	: 콘에서
P1 	: 선공개하자
P1 	: 그러고 컴백해라
P0 	: 가수 세명뿐인데
P0 	: 무슨 말이 더필요해
P0 	: 프나 셉 늉인데
P0 	: 그래
P0 	: 그게좋겠다
P1 	: 프가 누구더라....?
P1 	: 셉과 늉밖에 기억이 안나
P0 	: 플미스나인
P0 	: 프로미스
P1 	: 아?
P1 	: 아 걔네 플디였지
P1 	: ....
P0 	: 걔네 스톤에있다가 이제 슬그머니 플디로옴
P0 	: 스톤에있는척했지만
P0 	: 실질적인 관리는 플디인력 ㅇㅇ......
P1 	: 디용
P1 	: 매니지먼트는 스톤이 하고
P0 	: 플디 한승연건물에있을때 옥상이 프로미스나인 숙소였어
P1 	: 뭐 어쩌고저쩌고 그런줗 알았는데
P1 	: ㅇㅇㅇ 그거 기억나
P0 	: 말은 그렇게하는데 스톤거의 손안댐
P0 	: 한성수작품임 그냥
P0 	: 아 그거 얘기헀나여
P0 	: 엔하이픈
P0 	: 그거 빌리프랩인가 하는 소속사 어차피 그것동 하이브인데
P0 	: ㄱ이번에 걔네 다 코로나걸렸다며
P1 	: ?????
P1 	: 에반데
P0 	: 아 말씀안드렸나요
P0 	: 7ㅁㅇ중 5명 코로나확진ㄴ
