# FILE DATA
ID : MDRW2100008887
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210822
topic : 식음료

# SPEAKER_INFO
id : 1
age : 40대 이상
occupation : 사무 종사자
sex : 여성
birthplace : 경북
principal_residence : 대구
current_residence : 대구
device : 스마트폰
keyboard : 천지인

id : 2
age : 40대 이상
occupation : 가정 주부
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  가족>부부
intimacy  :  3
contact_frequency  :  (거의) 매일 연락한다.

P0 	: 저녁식사는 하셨어요?
P1 	: 스파게티해서 간단히 먹었어요
P1 	: 밥하기 귀찮네요~
P1 	: 뭐드셨어요?
P0 	: 저는 신랑더러 떡볶이 셔틀시켜서
P0 	: 떡볶이 먹었어요 ㅎ
P0 	: 아이들은 떡국 먹고싶다고해서 후다닥 끓여주고요 ㅎ
P1 	: 떡볶이는 언제먹어도 맛있죠~~~ 전 어제 먹었어요^^
P1 	: 떡국도 좋네요.
P0 	: 오랫만에 떡국이야기를 하더라구요
P0 	: 첫째가 떡국을 좋아해요
P1 	: 애들 좋아하죠. 저번에 해달라했는데 떡사러가기 귀찮아서 패스~
P0 	: 저는 항시 냉동실에 준비해놓는데
P1 	: 시원해졌으니 뜨끈하게 한번해야겠네요
P0 	: 오늘은 조금만 있더라구요
P0 	: 모지랄까걱정했는데 다행이 다먹고 더달라안하더라구요 ㅎ
P1 	: 떡국떡은 얼렸다 녹이면 풀어져서 전 그때 사다해요. ㅋ 잘안해먹는거죠~
P1 	: 다행이네요. 없을때 더달라함 난감한데
P0 	: ㅎㅎ 저희는 식감은 잘안따져서 ㅋㅋㅋ
	  그냥 먹어요 ㅎㅎ
P1 	: ㅎㅎ 울애들은 눈으로 음식을먹어서ㅠ
P1 	: 막둥이가 그렇게 눈으로보고 따져요. 먹어보지도 않고요
P0 	: 눈으로요,,
P0 	: 대단하네요
P1 	: ㅎ 뭐들어갔는지 둘러보고 이상하다싶음 밥만~ 쫌 편식이 심해요
P1 	: 고기는 좋아하는데 떡갈비같이 갈은고기는 잘안먹어요
P0 	: 와 벌써 눈썰미가 대단한데요
P0 	: 떡갈비 맛나는데
P1 	: 그니깐요.  대부분이 없어서 못먹지 싫어하진 않는데 이상해요
P0 	: 스파게티는 소스 어떤거 드셨어요?
P1 	: 로제요
