# FILE DATA
ID : MDRW2100046893
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210930
topic : 시사(정치, 경제, 사회)>배달앱 4번 주문하면 만원 환급

# SPEAKER_INFO
id : 1
age : 40대 이상
occupation : 경영/관리직
sex : 남성
birthplace : 강원
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 천지인

id : 2
age : 30대
occupation : 사무 종사자
sex : 여성
birthplace : 경북
principal_residence : 경북
current_residence : 경기
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  직장>동기/동료/동업자
intimacy  :  4
contact_frequency  :  (거의) 매일 연락한다.

P0 	: 배민에서 네번 주문하면 만원 캐쉬백이라는데?
P1 	: 말이 네번이지 이만원이상 네번 시켜먹기가 쉬운가여;;
P0 	: 왜 요즘 닭한마리만 시켜도 그냥 이만원이던데?
P1 	: 저는 싼 닭만 시켜먹어서여ㅋㅋ
P1 	: 요일할인하는데서 시켜먹으면 치킨은 절대 이만원이될 수없어요
P0 	: 아 그런가?
P1 	: 글구 치킨이 이만원 넘는건 넘 양심이 없는거아닌가요
P0 	: 그야 요즘 물가를 생각하면
P0 	: 그리 비싼것도 아니지 않나
P1 	: 아, 그리구 이만원에 배달비는 불포함일걸여
P0 	: 언제부터인가 배달비가 따로붙기는 했지
P1 	: 그니까 4번만주문하면 만원 환급이라고 하지만
P1 	: 거진 이만원넘게
P1 	: 십만원은써야 만원돌려준다는거잖아여?
P0 	: 그래도 원래 자주 시켜먹던사람들이야 어자피먹는거 지원받으면 좋지
P1 	: 혼자사는사람 서럽게여ㅜ
P1 	: 이만원넘길려면 족발은 시켜야 넘겠네여ㅜ
P0 	: 족발만 네번을 먹을수야 있나 ㅎㅎ
P1 	: ㅋㅋㅋ 저는 그냥 포기여
P1 	: 이만원씩 꾹꾹 채우려다 돈만더쓸듯
P0 	: 우리집이야 배달을 자주 이용하니
P0 	: 도움이되긴 한데
P1 	: 혼밥족은 웁니다ㅜ 4번주문 이만원의 허들은 너무높아요
P0 	: 안됬군 일부러 도움되라고 알려준건데
P1 	: 그럴바에야 그냥 할인받아 싸게먹는게 더이로울듯요
P1 	: 정신건강에 이롭게ㅋㅋㅋ 포기여
P0 	: 건강에 이로우려거든 배달어플을 끊는게 이롭지
P1 	: ㅋㅋ 그러네여
P0 	: 이건 언제까지가 마감인가?
P1 	: 배달주문 만원환급은
P1 	: 날짜 안정해지고 예산소진시 조기마감ㅋㅋ
P0 	: 언제가 끝인지 모르니 사람들 심리도 자극되겠어
P1 	: 그니까 말도안되는 정책이여ㅋㅋ 탁상공론
P1 	: 진짜입장바꿔놓고 생각해봐야되는데 ㅎㅎ
P0 	: 예산소진이 언제될지는 아무도 모르니 애매하구만
P1 	: 네 그니까 진짜 말도안되는거졍ㅋㅋ
P0 	: 그래도 뭐 얼마나 급하게 소진되려구
P1 	: 허들이높아서 그리빠르진않을듯여ㅎㅎ
P1 	: 내일부터 달리세요ㅎㅎ
