# FILE DATA
ID : MDRW2100030486
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210904
topic : 쇼핑과 상품

# SPEAKER_INFO
id : 1
age : 20대
occupation : 학생
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : PC(데스크탑/노트북)
keyboard : 2벌식(쿼티)

id : 2
age : 10대
occupation : 학생
sex : 여성
birthplace : 서울
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  학교/학원>동기/동창/동급생
intimacy  :  5
contact_frequency  :  (거의) 매일 연락한다.

P1 	: 웃기다
P1 	: 집사는 무엇이든 할 수 있어
P0 	: 너무 사고 싶은 게 많다
P1 	: 거기서 뭐뭐 봐
P0 	: 이것저것...
P0 	: 요즘 키워드 알림 해놓은 건
P0 	: 역방쿠...
P0 	: 그거 말고는 그냥 구경하는듯
P0 	: 해먹이나 스크래쳐 이런 거
P1 	: 고양이... 쿠션은 아직 없구나
P1 	: 해먹 귀엽겠다
P0 	: 창문에 붙이는 해먹... 사고 싶긴 한데
P0 	: 여전히 고민 중
P0 	: 습식도 기호성 테스트 실패한 분들이 가끔 파시는데
P0 	: 요즘은 별로 없네
P1 	: 글쿠만
P1 	: 너희 집 고영은 습식 기호성테스트
P1 	: 대충 됐니
P0 	: 생각보다 이것저것 잘 먹긴 하는데
P0 	: 카루 제일 잘 먹어서 걍 그것만 맛별로 다 사먹이는 중
P0 	: 쿠폰 이것저것 먹이면 싸
P0 	: 고양이 때문에 페이코도 쓰기 시작한
P1 	: 집사는 무엇이든2
P1 	: 좋은 조건의 역방쿠를 구했으면 좋겠다
P0 	: 그러게...
P0 	: 제발 가까운 데
P0 	: 그거 바리바리 들고 버스까지 타고 싶지 않아
P1 	: 으 최악
P1 	: 같은 단지면 좋을 텐데
P0 	: 그러니까
P1 	: 얼마 전에 겜 타이틀 당근에서 샀는데
P0 	: 전에 근처에서 파는 거 있었는데
P1 	: 같은 단지여서 짱 좋았음
P0 	: 망설이는 사이 사라져서 슬픈
P0 	: 같은 단지면 좋지...
P0 	: 난 거의 버스 타고 갔던 듯
P1 	: 헐... 난 버스 탈 정성까진 없음...
P1 	: 무조건 가까운 거.
P0 	: 그래도 배송비보단 싸기도 하고...
P0 	: 금방 받아볼 수 있는 게 좋은
P1 	: 그건 그렇지
P0 	: 서브 모니터가 생겼어
P0 	: 너무 좋아
