# FILE DATA
ID : MDRW2100005079
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210821
topic : 식음료

# SPEAKER_INFO
id : 1
age : 40대 이상
occupation : 사무 종사자
sex : 여성
birthplace : 경북
principal_residence : 대구
current_residence : 대구
device : 스마트폰
keyboard : 천지인

id : 2
age : 20대
occupation : 전문가 및 관련 종사자
sex : 여성
birthplace : 충남
principal_residence : 대전
current_residence : 충북
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 네 족발먹었어요
P1 	: 저녁드셨어요?
P0 	: 네 저희는 친정에서 된장이랑 호박잎 주셔서 그걸로 저녁 먹었어요
P0 	: 주1회 족발드시는 날이 오늘이셨군요 ㅎㅎ
P0 	: 단골집이 있으시겠네요
P1 	: 시댁에서 만들어줬어요
P1 	: 친정이랑 가까워요?
P0 	: 족발을요?
P0 	: 네 친정집까지 차로 15분이요 ㅎ
P1 	: 와우 부러워요ㅠㅠ
P1 	: 저는시댁이15분거리
P0 	: 시댁이 족발집하세요?
P1 	: 친정은 왕복3시간거리네유
P1 	: 아니요 어제 오빠가 군대갔을때 먹었던 수육이 기억난다해서 시어머님이 시아버님한테 수육사오랬는데 시아버님이 족발을 사와서 족발먹었어요ㅋㅋ
P0 	: ㅎㅎ 헷갈리셨나보네요
P0 	: 스벅에 새로나온 음료 드셔보셨어요?
P0 	: 아이스크림 블렌딩 콜드브루 였던거같아요
P1 	: 오 가봐야되는데
	  스벅에는 항상 사람이 많아서 피했어요ㅠㅠ
P1 	: 스타벅스는 항상 많지 않아요?
P0 	: 맞아요
P0 	: 저는 주로 드라이브스루로 아침에 가요
P0 	: 맛이 비싼 더위사냥 맛이예요ㅎㅎ
P1 	: 요즘은 바닐라라떼에 빠져서 카페순회중이예요
P1 	: 점심시간에!
P0 	: 바닐라라떼도 맛있죠 ㅎㅎ
P0 	: 스벅말고도 가세요?
P1 	: 네 요즘은 카페가 워낙많아서
P0 	: 글쵸 브랜드도 많고 브랜드 아닌곳도 맛난곳이 있더라구요
P1 	: 회사점심시간이라 점심먹고 식당주변으로 가요
