# FILE DATA
ID : MDRW2100030922
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210904
topic : 연애와 결혼

# SPEAKER_INFO
id : 1
age : 30대
occupation : 학생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 대전
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 사무 종사자
sex : 남성
birthplace : 인천
principal_residence : 인천
current_residence : 서울
device : PC(데스크탑/노트북)
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 연애중이싱가요
P1 	: 네넹. 거의 만 5년되었어요
P1 	: &name1&님은요?!
P0 	: 우와 없어요
P0 	: 장기연애비결은 ?
P1 	: 음.........
P1 	: 미워하지 않기
P1 	: 이해해주기
P1 	: 항상 사랑한다구 해주기
P0 	: 성격이 조으시네요
P1 	: 그럴려구 노력하구 있어요 ㅋ ㅋㅋㅋㅋ
P0 	: mbti 아시나요
P1 	: 뭔지 알기는 알아요! 근데 제꺼가 뭔지 까먹었어요 ㅋㅋㅋㅋㅋ
P0 	: 아궁금하네요
P1 	: E 어쩌고 였던것 같아요
P1 	: ENFP???
P0 	: ㅋㅋㅋ 어울령요
P1 	: &name1&님은 mbti 잘 아셔욤?
P0 	: 재밋어해요
P1 	: 어느정도 맞는 편인가요? ㅋ ㅋㅋㅋ 다른 주변분들을 봤을때...
P0 	: 네 걍 자기가 고른거니까요 ㅋㅋㅋ 재믹어요그냥
P0 	: 여자친구도 성격 조으신가요
P1 	: 넹! 성격 좋구 똑똑하구, 사랑스러워요 ㅋㅋㅋ
P1 	: 뭔가 연애할때...
P0 	: 우와... 조켓다 결혼언제요
P1 	: ㅋ ㅋㅋㅋㅋ 서로 상호 협의를 해야겠지요
P1 	: 아직 자세하게 얘기는 해본적은 없어요~
P1 	: 서로 대화가 잘 통한다는게 연애할때 젤 중요한것 같아욤
P1 	: 연애 많이 해보셨나요!
P0 	: 소개팅햇어요?
P0 	: 아뇨 ㅎㅎㅎ
P1 	: 친구 소개로 만났어요 ㅋㅋㅋ!
P1 	: 정작 그 친구랑은 지금 연이 끊긴 ㅠ
P0 	: 앗 왜요
P1 	: 그냥 연락이 뜸하다보니까 자연스럽게 끊긴것 같아요!
P0 	: 아항 ~ 조은인연남기고 떠낫군요 ㅋㅋ
