# FILE DATA
ID : MDRW2100000917
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210819
topic : 날씨와 계절

# SPEAKER_INFO
id : 1
age : 30대
occupation : 가정 주부
sex : 여성
birthplace : 광주
principal_residence : 광주
current_residence : 경남
device : 스마트폰
keyboard : 기타

id : 2
age : 30대
occupation : 단순 노무 종사자
sex : 여성
birthplace : 전남
principal_residence : 전남
current_residence : 전남
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 많이 선선해졌어
P0 	: 그치 입추지나고나니까
P0 	: 너무 신기할만큼 아침저녁으로 시원해졌어
P1 	: 새벽엔 이불없인 안되겠더라구
P1 	: 이러다 애들 감기 걸릴까봐 긴장빡 ㅋ
P0 	: 맞아맞아 애들이 자꾸 이불을 발로 걷어차서ㅜㅜ
P0 	: 그렇다고 문꽁꽁 닫고자면 너무 답답해서
P1 	: 그러니까 말이야 코로나때문에 단순감기도 병원가기 싫더라구
P0 	: 맞아맞아 ㅜㅜ 이제 곧 환절기가 오겠다
P0 	: 일기예보가 하나도 안맞아서 언제 갑자기 비가 내릴지도 모르고
P0 	: 꼭 우산챙겨다녀야겠더라
P1 	: 맞아 그래도 더위 가니까 너무 좋아
P1 	: 애들 데리고 산책다니기 좋은 날씬데
P0 	: 금방 추워지겠지 ㅋㅋㅋ  아직은  반팔 원피스 입혀보내는데
P0 	: 금방 바람막이 필요할거같아
P1 	: 그치 옷장정리 또 해야겠어
P1 	: 금방 추워질거야 롱패딩 장만해야겠다
P0 	: 집안일은 정말 끝이없다ㅜㅜ옷장정리 너무싫엉
P1 	: 특히 겨울옷은 먼지 엄청 마셔야해ㅜㅎ
P1 	: 부피커서 ㅋㅋ자리도 많이 차지하고
P1 	: 장마온다는데
P0 	: 다음주쯤이 죄다 비소식이던데
P0 	: 비그치면  해야겠다!  ㅎㅎ
P1 	: 다음주 장마야?
P1 	: 나 비오는날 무지 싫어하거든
P1 	: 넌 어때
P0 	: 나는 비 좋아하는데 보는것만!ㅋㅋ
P0 	: 출근길에 비가 쏟아져서 바지가 축축해졌어 ㅠ
P1 	: ㅋㅋㅋㅋㅋㅋ그건 그래 
	  근데 외출할때 비는 심해 ㅠ
P1 	: 출근했어? 오늘 비와?
P1 	: 여긴 쨍해 엄청 더워
P0 	: 비안왔는데  애들 버스타고 출발하는데 갑자기 쏟아졌어ㅜ
P0 	: 국지성이 심각~
P0 	: 비올줄알았음  원피스입는건데  ㅠ 내바지~~
P1 	: 워킹맘이었구나
P1 	: 아침부터 진빠지겠다
P0 	: 파트타임으로 짧게^^
P1 	: 난 퇴사해서 전업됐어 ㅎ
P0 	: 안그럼 애봐줄사람이 없어서 ㅠㅠ
P1 	: 부럽다 나도 나가고싶어
P1 	: 맞아 방학되니 멘붕이더라 그만둔지 얼마 안됏거든
P1 	: 어느날은 출장가있는데 갑자기 소나기 와서
P1 	: 학교간 아이가 전화온거야 엄마 비오는데 우산없어요
P0 	: 초등학교가면 많이 그렇다고들..
P0 	: 어떻게ㅠ ㅜ
P1 	: 얼른 커야지 아이도 나도
P1 	: 그나저나 바지 찝찝하겟다
P1 	: 비는 그쳣어?
P0 	: 출근하니까 비는 그쳐있던데 우리동네는 비가온대!ㅋㅋ
P0 	: 날씨정말 알수없어
P0 	: 일주일넘게 비비비
