# FILE DATA
ID : MDRW2100023083
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210829
topic : 쇼핑과 상품

# SPEAKER_INFO
id : 1
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 학생
sex : 여성
birthplace : 광주
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  학교/학원>동기/동창/동급생
intimacy  :  4
contact_frequency  :  주 1회 미만

P0 	: 웅웅 공감합니다! 저도 통통인이라
P1 	: ㅜㅠㅠ진짜로..옷 사도 안맞으면 진짜 괴로운데 그럴 때가 너무 많아 그래서 옷 사는게 스트레스일 때도..
P0 	: 맞아 그래서 옷볼려고 유튜브 보는건 아니지만
P0 	: 꽃빈이라는 유튜버분이 쇼핑몰 최근에 내셨단말이여
P1 	: 응응응
P0 	: 근데 그 여자분이 엄청 마르셔서
P1 	: 헉..응응응
P0 	: 별로 살 마음이 안들었는데ㅋㅋㅋㅋ
P1 	: ㅋㄱㅋㄱㄱㅋㄱㄱㅋ
P1 	: 맞아..그분이 파는건 내가 못입을거아냐
P0 	: 남편분이 막 파는 원피스나 치마 막 입고 방송을 하시는거야ㅋㅋㅋㅋㅋㅋㅋ
P0 	: 그러니까 나도 좀 혹 하더라ㅋㅋㅋㅋㅋ
P1 	: ?
P1 	: ㅋ
	  ㄱ
	  ㅋㄱㄱㅋ
	  ㅋㅋㅋ
P0 	: 호...?내가 입어도 저정도겠는데?
P1 	: 갑자기빅사이즈옷을팔기시작하기 판매전략이극과극이기
P1 	: ㅋㄱㄱㄱㄲㄱㅋㄱㄱㄱㄲㅈㄱ
P0 	: 진짜로 그래서 원래 안 팔려서 악성 재고였던 옷들이
P1 	: 그치..그치... 내가 입을수 있다는 생각이 들어야 소비욕구가 자극되잖아
P1 	: 응응
P0 	: 딱 그분 입는것들만 엄청 잘 팔렸대
P1 	: 헐..
P1 	: 근데..진짜로..생각해보면 한국에 그렇게 마른 여성이 얼마나 된다고..
P0 	: 꽤...멋진 마케팅인걸?하는 생각이...
P0 	: 맞아맞아
P0 	: 주변 봐도 그렇게 기아상태로 마른 분 잘 없는데ㅠㅠㅠ
P1 	: 물론 적은편은 아니지만.. ㅜㅠㅠ그니까..사실 그렇게 마르면 안되기도 하고
P0 	: 그래서 자꾸 나는 엄청 품 낙낙한 남여 공용 옷만 자꾸 사게 돼..ㅠ
