# FILE DATA
ID : MDRW2100022538
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210829
topic : 날씨와 계절

# SPEAKER_INFO
id : 1
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 부산
principal_residence : 부산
current_residence : 부산
device : 스마트폰
keyboard : 천지인

id : 2
age : 20대
occupation : 학생
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 한동안 비오더니 이번주말은 해가 잘보여요
P1 	: ㅎㅎㅎ그러게여
P1 	: 어제 새벽에도 비가 왔는데
P1 	: 아침엔 쨍쨍하네요
P0 	: 어제 새벽에 비왔군요? 늦잠자서 몰랐어요
P1 	: 전 어제 늦게 자서 알았어요
P1 	: 한 2시 3시쯤 비 오더라구요
P0 	: 그러셨구나! 주말이라 한껏 새벽을 즐기셨군요
P1 	: 핳ㅎㅎㅎㅎ
P1 	: 맞습니당
P1 	: 친구랑 산책하고 12시 넘어서 집 들어갔더니
P1 	: 취침이 늦어졌네요ㅎㅎ
P0 	: 요즘 밤에 산책하기 너무 좋죠...
P0 	: 친구랑 가까이사시나보다
P1 	: 맞아요!!
P1 	: 날씨가 딱 좋더라고요
P1 	: 넹
P1 	: 1분거리에
P1 	: 살아용ㅋㅋㅋㅋ
P0 	: 우와 부러워요
P0 	: 주변에 산책할만한곳이 있나요?
P1 	: 아 주변에 공원이 많아서
P1 	: 산책하기엔 좋아요~
P0 	: 부러워요!! 요즘 아침 저녁으로 산책하기 좋은 날씨라 저도 산책을 좀 하고싶은데
P0 	: 갈만한곳이 잘없어서 마트가요
P1 	: 앜ㅋㅋㅋㅋㅋㅋ
P1 	: 산책으로 마트가시는구나ㅋㅋㅋㅋ
P1 	: 주변에 공원 같은 곳 없나요??
P0 	: 네ㅋㅋㅋㅋ작은 놀이터밖에 없어요
P1 	: 아앗...ㅠㅠ
P1 	: 공원 있으면 진짜 좋은데
P1 	: 너무아쉬울거같아요ㅠㅠ
