# FILE DATA
ID : MDRW2100013079
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210825
topic : 콘텐츠>영상/음원 콘텐츠

# SPEAKER_INFO
id : 1
age : 20대
occupation : 학생
sex : 여성
birthplace : 인천
principal_residence : 인천
current_residence : 인천
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 학생
sex : 여성
birthplace : 서울
principal_residence : 인천
current_residence : 인천
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  지역>고향 및 이전 거주지 지인
intimacy  :  4
contact_frequency  :  주 1회 미만

P0 	: 근데조승우는
P0 	: 드라마나영화안찍음?
P1 	: 찍지
P0 	: 최근에찍음?
P1 	: 시그마 끝나고
P1 	: ㅇㅇㅇ
P1 	: 시지프스타
P1 	: 다
P0 	: 영화,
P0 	: ?
P1 	: 드라마였어
P1 	: 약간 망함
P0 	: 앜ㅋㅋㅋㅋㅋ아니
P0 	: 망했다니
P0 	: 노잼이었음?
P1 	: 약간
P1 	: 개연성이 약한 부분도 있었고
P1 	: 설정이 어려워서
P0 	: ㅋㅋㅋㅋㅋㅋ아아
P1 	: 약간 그런
P0 	: 설정이어려우면
P0 	: 개언성이
P0 	: 좋기힘들더라
P0 	: 작가역량이좋지않은이상
P1 	: 그니까 설정이 어려우면 다른건 최대한 간단히 했었어야 하는데
P1 	: 그게 안돼서 망함
P1 	: 그리고 주연이
P0 	: 시청자들도조금힘들어함
P0 	: ㅇㅇ주연?
P0 	: 누구였는데
P1 	: 조승우 박신혜였어
P0 	: 아
P0 	: 그거
P0 	: 아님?
P0 	: 미래어쩌고하는거
P1 	: ㅇㅇㅇㅇㅇㅇ
P0 	: 엄마가보는거봤음
P1 	: 타임 머신을 만든 조승우와 그 타임머신을 타고 넘어와서 조승우 지키는 박신혜
P1 	: 둘이 10살 차이임
P0 	: 아 맞음
P0 	: 아
P0 	: 둘이러브라인이었음?
P1 	: ㅇㅇ
P0 	: 심한데
