# FILE DATA
ID : MDRW2100044469
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210907
topic : 식음료

# SPEAKER_INFO
id : 1
age : 30대
occupation : 기타
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 그러게요 ㅠㅠ 뷔페 예전엔 자주 갔었는데 지금은 쫌 ..그렇네요
P0 	: 맞아요 ㅠㅠ근데 또
P0 	: 뷔페에선 확진자가 안 나온 거 보면
P0 	: 뭔가 흔들리기도 해요....
P1 	: 맞아요.. 그 비닐장갑끼고 마스크 착용하고 해서
P1 	: 솔직히말하면 .. 예전보다 위생적이긴 할 것 같아요
P1 	: 근데 음식이 좀 식어있어요 ㅠㅠ
P0 	: 맞아요ㅠㅠㅠㅠ
P0 	: 요샌 뚜껑도 필수로 덮고
P0 	: 그래야 한다는데
P0 	: 사람들도 많이들 가서 회전율도 괜찮을 것 같은데 왜 식었을까요..?
P1 	: 전 사람이 적었어요..ㅠㅠ 가면은 점심쯤에 가는데 차라리 나을 것 같아요!!
P1 	: 저녁때면 마감시간이랑 겹쳐서 새음식도 잘 안나오는 것 같더라구요..
P0 	: 헉
P0 	: 보통 저녁이 더 비싸잖아요ㅠㅠ
P0 	: 점심부터 뷔페식 가기엔 회사원들은 좀 부담스러운데ㅠㅠ
P1 	: 그러면 주말 저녁타임 딱 시작하면요..!
P1 	: 저번에 피자몰 저녁에 갔다가 진짜 완전 실망..했어요ㅠㅠ
P0 	: 피자몰에선 뭐가 제일 맛있나요?
P1 	: 피자몰 마약옥수수피자랑 멜팅치즈폭포피자 맛있었어요!
P1 	: 로제떡볶이도 있던데.. 좀 불어있어서 약간 ..좀그랬네요
P0 	: 오오
P0 	: 마약옥수수피자 맛있을것같아요
P0 	: 피자종류 다양한가요
P1 	: 네네 피자 종류는 꽤돼요 한 8가지..? 더 있었나 ..암튼 꽤 되고 사이드도 있어요 ㅎㅎ
P0 	: 좋네요
P0 	: 나중에 기회되면 가봐야겠어요
P1 	: 그쵸 가격도 저렴해서 매장이 좀 더 많으면 좋을텐데 .. 아쉽긴해요
