# FILE DATA
ID : MDRW2100045934
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210908
topic : 미용과 건강

# SPEAKER_INFO
id : 1
age : 40대 이상
occupation : 사무 종사자
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 천지인

id : 2
age : 30대
occupation : 경영/관리직
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 나랏글

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 전 세미정장쪽을 좋아하는데 안어려서 그냥 보기만해요
P1 	: 쉬폰이요?
P0 	: 쉬폰도 그렇고 원피스 좋아해요
P0 	: 평소엔 티에 청바지마니입지만요 ㅋㅋ
P1 	: 저도 세미정장이 상반신이 살쪄서 못입고 청바지랑 티입어요
P0 	: 다이어트 생각은 잇는데 쉽지않아요ㅋ
P1 	: 맞아요.. 다이어트가 쉽지않아요,
P1 	: 요가도 했었는데.. ㅠㅠ ㅋ로나 끝나면 클라이밍 배우고 싶네요
P0 	: 전 수영배웟엇는데 진짜 코로나끝나야 몰 다시식작하든 하는데ㅠ
P1 	: 그쵸그쵸
P1 	: 저 수영도 배우고싶어요
P1 	: 물놀이좋아하거든요.. 근데 물에 안떠요
P0 	: 저도 첨에 배울때 고생햇어요ㅋㅋ
	  근데 가르쳐주니까 되더라고요
P0 	: 저랑 동생만 빼서 나머지공부 
	  잠수도 못해서요ㅋㅋ
P1 	: 아.. 그렇게 열정적인 선생님 만나고 싶네요
P1 	: 수영이 박자랑 연관이 있는건지.. 튜브에서도 잘 못해서ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 아 박자 그건 맞는거 같아요
P0 	: 저 진짜 몸치거든요 근데 선생님이 제 턱을 잡고 딱 흔드니까 몸이 웨이브가 자동으로댓어여
P0 	: 대박 신기
P1 	: 호오
P1 	: 저두그런.. 배움이 필요해요ㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 박치라ㅠㅠㅠㅠㅠㅠㅠㅠ
P0 	: 물속이라 그런건지몬지 몰라도 
	  근데 그렇게 해주면 누구나 웨이브 된다 그러더라고요
P1 	: 우와
P0 	: 근데 접영에서 좌절하고 관둿어요
