# FILE DATA
ID : MDRW2100038483
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210902
topic : 콘텐츠>영상/음원 콘텐츠

# SPEAKER_INFO
id : 1
age : 20대
occupation : 학생
sex : 여성
birthplace : 해외/기타
principal_residence : 대전
current_residence : 대전
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 학생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 헐 전 아직도 소녀시대 좋아해요!
P0 	: 태연 솔로곡 다 챙겨듣거든요!
P1 	: 오 태연은 진짜
P1 	: 누구나 좋아할 아티스트예요 그쵸?
P1 	: 저는 에프엑스도 진짜 좋아했어요!!!
P1 	: 지금도 좋아하지만....
P0 	: 헐헐 저도요! 저 그 일렉트릭 쇼크도 좋아했고
P1 	: 네네네!!!!
P0 	: 포 월즈도 ㅠ 완전 좋아해ㅛ어요@!
P1 	: 핑크텦 진짜명반이죠
P1 	: 맞아요 진짜 하나하나 다 명반이죠!!!!
P0 	: 맞아요!! 그래서 지금 활동 안 하는 거 너무 아쉬워요 ㅠ.^
P1 	: 맞아요... 진짜 역대급 아이돌 그룹이었는데 ㅠㅠ
P1 	: 저는 이상하게
P1 	: 에스파는 정이 안가더라구요?!
P1 	: 노래는 좋은데 ....!!!!
P0 	: 저도 노래만 들어요!!!!!!!!!!!
P0 	: 뭔가 제 취향이 아닌 사람들?!?!
P0 	: 넥스트 레벨은 맨날 듣는답니닷
P1 	: 헉 맞아요 저도저도!!!!
P1 	: 음악은 듣는데
P1 	: 사람들이 제 취향이 아니라 뮤비는 안봐욬ㅋㅋㅋ
P0 	: &name2&님 또 어떤 아이돌 노래 들으세요!!!!!!!
P1 	: 저는 저는
P1 	: 엔시티 노래 좋아해욬ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 아니 왤케 네오해요...?
P0 	: 헐 저도요!!!!!!!!!
P0 	: 저.. 엔시티 좋아하잖아요 완전!
P0 	: 무한적아 제 최애곡.
