# FILE DATA
ID : MDRW2100047199
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210825
topic : 쇼핑과 상품

# SPEAKER_INFO
id : 1
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 천지인

id : 2
age : 40대 이상
occupation : 가정 주부
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 충남
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 신제품나왔는데 신제품이 훨!!!!!!!씬
P0 	: 싸더라고요
P1 	: 그럼좋게 싸게
P1 	: 오 그럼 신제품사죠
P1 	: 다들있고 저만 없는듯해요
P1 	: 큰맘먹고 알바 돈으로 살까봐요 ㅋㅋ
P0 	: 이번에
P0 	: 버즈2가
P1 	: 네
P0 	: 신제품이 15만?일케나왔대요ㅋㅋㅋ
P0 	: 사전예약하면 13
P0 	: 까지도 준대요ㅋㅋㅋ
P1 	: 네 그랬데요
P1 	: 그러니까요
P1 	: 아 더싸게 사고파요
P0 	: 엄청 저령하게나왔죠ㅋㅋㅋ
P1 	: 좀지나서 살까봐요
P0 	: 좀지나면
P0 	: 더할인할거같긴해요
P0 	: 12.8정도?
P1 	: 그렇겠죠 희망을 갖고 ㅜㅜ
P0 	: 맞아요ㅋㅋㅋ
P0 	: 워치도 싸게나왔답니다
P1 	: 아 다 사소싶군요 ㅡㅡ
P1 	: 워치도 좋고ㅠ버즈는 더사고싶고
P1 	: 아 10 밑이면 좋겠어요
P1 	: 뭐가 이리 비싼지
P0 	: 맞아요ㅋㅋㅋ
P0 	: 전자기기는
P0 	: 참 비싼것같아요
