# FILE DATA
ID : MDRW2100036431
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210830
topic : 학교 생활

# SPEAKER_INFO
id : 1
age : 20대
occupation : 학생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 기타
sex : 여성
birthplace : 부산
principal_residence : 부산
current_residence : 부산
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 하여튼 나중에 다운로드 받을 수 있으면 꼭 다운받아보세요!!!
P1 	: 네 틈틈이 확인해 볼게요! ㅎㅎ
P1 	: 저는 여중 여고를 나왔는데 대학은 공학이라서
P1 	: 이런 정보를 늦게 얻은게 아쉽네요 ㅎㅎ
P1 	: 여대는 여고의 연장선 같은 느낌일까요?
P0 	: 오오 그래도 여중여고를 나오셨구나!!!
P0 	: 아무래도 그렇지 않을까요?
P0 	: 여고가 그렇게 재밌다는데...
P0 	: 저는 사실 계속 공학 학교를 다니다가
P0 	: 여대에 편입한거거든요!
P1 	: 아 그럼 여고생들의 살벌함을... 모르실... ㅎㅎ
P1 	: 공학에서도 하는지는 모르겠는데
P1 	: 여자애들끼리 있다보니까 말뚝박기도 힘차게 날아다니면서 찍어 내리고,
P1 	: 피구도 손가락 인대 늘어나게 던지고 받고 그랬어요 ㅎㅎ
P0 	: 앜ㅋㅋㅋㅋㅋㅋㅋ 우와
P0 	: 정말 제대로 하셨네요!!!!
P0 	: 음 그렇다면 여자대학은 어느정도
P0 	: 점잖은 분위기라고 할 수 있겠네요!!!
P0 	: 그리고 서로 잘 도와줘요 ㅎㅎ
P1 	: 아 약간 남고생들이 상상하는 여고생의 모습이 그럴까요 ㅋㅋㅋㅋ
P1 	: 저희 진짜 망아지들 같았는데 ㅎㅎ
P0 	: 그럴지도 몰라요~ 헤헤
P0 	: 건강하고 좋은거죠!!!
P0 	: 근데 지금도 고등학생 때가 생생해요 ㅎㅎㅎ
P1 	: 다시 돌아가고싶으신가요 ㅎㅎ
P0 	: 다시 돌아간다면
P0 	: 수시를 더 챙겼을 것 같아요 ㅋㅋㅋㅋㅋ
P0 	: 왜 자꾸 정시로만 대입 준비를 했는지...
P1 	: 수시 1차로 정리돼서 학교와서 노는 친구들 부러워 보였어요 그때 ㅋㅋㅋㅋ
P1 	: 저는 돌아가면 이과로 가고싶어요 ㅋㅋㅋㅋ
P1 	: 문과 너무... 힘들었어요 ㅋㅋㅋㅋㅋ
P0 	: 핫 그러셨군요!!!!
P0 	: 문과는 뭔가 평가절하되는 게 많은 거 같아요 ㅠㅠ
P0 	: 저는 이과를 오긴 했는데
P0 	: 원래 문과성향 강한 사람이었거든요...!!
P1 	: 좋은 선택이셨어요 ㅋㅋㅋㅋ
P1 	: 문과도 이해할 수 있는 이과는 소중해요 ㅎㅎ
P0 	: 앜ㅋㅋㅋㅋ 좋은 말씀 감사해요 ㅋㅋㅋㅋ
P0 	: 저는 거의 억지로 이과 오긴 했어요... 흑
P0 	: 수리가형이 어찌나 어렵던지...
